mpath,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,25,0.0002485713630449027,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,26,0.003064158372581005,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,27,0.002274242928251624,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,28,0.009523365646600723,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,29,0.002190860453993082,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,30,0.0022594421170651913,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,1,31,0.007977882400155067,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,0,0.006017566192895174,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,1,0.01101964246481657,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,2,0.004043063148856163,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,3,0.032691262662410736,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,4,0.010949403047561646,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,5,0.013900917023420334,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,6,0.00879956316202879,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,7,0.013173581101000309,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,8,0.01446240209043026,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,9,0.019918708130717278,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,10,0.012585069984197617,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,11,0.006905232556164265,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,12,0.010378957726061344,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,13,0.005824124440550804,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,14,0.009123435243964195,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,15,0.00011015380005119368,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,16,0.04902152717113495,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,17,0.0015853731893002987,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,18,0.34753158688545227,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,19,0.014338463544845581,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,20,0.005753823556005955,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,21,0.0097191222012043,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,22,0.01158863864839077,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,23,0.007805976085364819,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,24,0.009171011857688427,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,25,0.8843534588813782,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,26,0.008369200862944126,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,27,0.008230685256421566,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,28,0.008366735652089119,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,29,0.01083209179341793,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,30,0.007312174420803785,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,2,31,0.00447774538770318,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,0,0.0058845821768045425,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,1,0.00011331617861287668,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,2,0.006681010592728853,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,3,0.006844410207122564,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,4,0.000583596236538142,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,5,0.011262845247983932,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,6,0.0004440493939910084,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,7,0.0068448614329099655,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,8,0.00046210153959691525,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,9,0.012441378086805344,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,10,0.0014754721196368337,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,11,0.8962130546569824,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,12,0.00725417397916317,0.9800000190734863,28.860000610351562
EleutherAI/pythia-2.8b,50000,step50000,2775208960,32,32,0,3,13,0.007825012318789959,0.9800000190734863,28.860000610351562
