mpath,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,0,0,0.011931159533560276,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,0,1,0.014755782671272755,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,0,2,0.01378916297107935,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,0,3,0.012815271504223347,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,0,4,0.013639133423566818,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,0,5,0.014058995060622692,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,0,6,0.01320983748883009,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,0,7,0.013147812336683273,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,1,0,0.012370061129331589,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,1,1,0.009747249074280262,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,1,2,0.008436101488769054,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,1,3,0.012575218454003334,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,1,4,0.012152057141065598,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,1,5,0.013959691859781742,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,1,6,0.013033198192715645,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,1,7,0.008987140841782093,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,2,0,0.00264472933486104,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,2,1,0.002918552840128541,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,2,2,0.006431021727621555,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,2,3,0.004609206225723028,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,2,4,0.001248480868525803,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,2,5,0.009794030338525772,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,2,6,0.010167965665459633,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,2,7,0.005601691547781229,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,3,0,0.012405555695295334,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,3,1,0.011038398370146751,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,3,2,0.002013600431382656,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,3,3,0.007386477198451757,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,3,4,0.0057024769484996796,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,3,5,0.01145437266677618,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,3,6,0.006881188601255417,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,3,7,0.004927774891257286,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,4,0,0.01232199463993311,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,4,1,0.012661903165280819,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,4,2,0.007867123931646347,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,4,3,0.013497967272996902,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,4,4,0.005617608316242695,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,4,5,0.00393717922270298,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,4,6,0.007542331237345934,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,4,7,0.010538976639509201,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,5,0,0.0027110311202704906,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,5,1,0.0044836918823421,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,5,2,0.0048254430294036865,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,5,3,0.0017372822621837258,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,5,4,0.0024093540851026773,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,5,5,0.0025874972343444824,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,5,6,0.009067938663065434,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,0,5,7,0.0012711387826129794,0.0,25316.01953125
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,0,0,0.014756402932107449,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,0,1,0.014389070682227612,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,0,2,0.014216686598956585,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,0,3,0.014930320903658867,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,0,4,0.012285814620554447,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,0,5,0.013033831492066383,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,0,6,0.01426830142736435,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,0,7,0.014037145301699638,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,1,0,0.00959752406924963,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,1,1,0.009819640778005123,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,1,2,0.008244124241173267,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,1,3,0.011400357820093632,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,1,4,0.012351584620773792,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,1,5,0.010395138524472713,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,1,6,0.010354594327509403,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,1,7,0.00874117948114872,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,2,0,0.0023809971753507853,0.0,24182.380859375
EleutherAI/pythia-70m,256,step256,70426624,6,8,1,2,1,0.0036311433650553226,0.0,24182.380859375
