mpath,display_name,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,0,0.017647920176386833,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,1,0.01520184800028801,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,2,0.013067910447716713,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,3,0.007570368703454733,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,4,0.01897292770445347,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,5,0.019363481551408768,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,6,0.014718953520059586,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,7,0.01427248865365982,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,8,0.006349141709506512,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,9,0.011174854822456837,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,10,0.009215375408530235,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,11,0.015694163739681244,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,12,0.012717360630631447,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,0,13,0.003937301691621542,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,1,0,0.0047364626079797745,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,1,1,0.0036556741688400507,0.8799999952316284,96.19999694824219
Gemstone-Models/Gemstone-1792x18,Gemstone 1792x18 (1B),1047397120,18,14,0,1,2,0.009442899376153946,0.8799999952316284,96.19999694824219
