mpath,display_name,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,0,0.019999999552965164,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,1,0.019999999552965164,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,2,0.03999999910593033,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,3,7.04853127555383e-43,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,4,0.01755009964108467,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,5,0.03999999910593033,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,6,0.0,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,7,0.0,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,8,8.996336140965326e-43,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,9,2.6785922063712858e-30,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,10,0.012123268097639084,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,11,0.019999999552965164,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,12,3.213767474363749e-09,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,13,0.019999999552965164,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,14,0.0,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,15,2.3043890472022877e-13,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,16,0.0,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,17,0.0,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,18,0.019999999552965164,0.8799999952316284,1005.5399780273438
Gemstone-Models/Gemstone-3072x12,Gemstone 3072x12 (2B),2007837696,12,24,0,0,19,0.0,0.8799999952316284,1005.5399780273438
