mpath,display_name,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,3,6,0.008223837241530418,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,3,7,0.0003810654452536255,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,3,8,0.002533102873712778,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,3,9,7.915440073702484e-05,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,4,0,0.0024445378221571445,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,4,1,0.00014638210996054113,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,4,2,0.006149868946522474,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,4,3,0.01416974700987339,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,4,4,0.011053157038986683,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,4,5,0.012004042975604534,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,4,6,0.0005695121944881976,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,4,7,0.0015843479195609689,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,4,8,0.005873512011021376,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,4,9,0.007167007774114609,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,5,0,0.012110705487430096,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,5,1,0.006160931661725044,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,5,2,0.011968531645834446,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,5,3,0.013747126795351505,0.7599999904632568,513.719970703125
Gemstone-Models/Gemstone-1280x36,Gemstone 1280x36 (1B),1013607680,36,10,0,5,4,7.450240809703246e-05,0.7599999904632568,513.719970703125
