mpath,display_name,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,0,0,0.0005249697132967412,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,0,1,0.006983339320868254,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,0,2,0.006248674355447292,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,0,3,0.00735610444098711,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,1,0,2.7675558158080094e-05,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,1,1,5.497960842149041e-07,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,1,2,0.007592873647809029,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,1,3,0.00811227411031723,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,2,0,0.0009301062673330307,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,2,1,0.008713308721780777,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,2,2,0.0035864771343767643,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,2,3,0.0011678539449349046,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,3,0,0.005167166702449322,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,3,1,0.007310533430427313,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,3,2,0.007143951486796141,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,3,3,0.010512225329875946,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,4,0,0.004369210451841354,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,4,1,0.00668960390612483,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,4,2,0.018023967742919922,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,4,3,0.002255914965644479,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,5,0,0.004247348289936781,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,5,1,0.007016990799456835,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,5,2,0.011796126142144203,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,5,3,0.012018997222185135,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,6,0,0.0009352867491543293,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,6,1,4.3594576709438115e-05,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,6,2,0.008786204271018505,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,6,3,0.002450489206239581,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,7,0,0.0016046768287196755,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,7,1,0.0030149281956255436,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,7,2,0.02052236534655094,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,7,3,0.016098085790872574,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,8,0,1.7620127579220934e-08,0.8399999737739563,280.5199890136719
Gemstone-Models/Gemstone-512x14,Gemstone 512x14 (107M),106576384,14,4,0,8,1,0.0005421617534011602,0.8399999737739563,280.5199890136719
