mpath,Layer,Head,n_params,n_layers,mean_1back,mean_first
Gemstone-Models/Gemstone-1536x50,1,1,1924161024,50,0.10995598936693979,0.18490526610398073
Gemstone-Models/Gemstone-1536x50,1,2,1924161024,50,0.12640738671830104,0.13586428739527634
Gemstone-Models/Gemstone-1536x50,1,3,1924161024,50,0.12386182668218916,0.12668482376145077
Gemstone-Models/Gemstone-1536x50,1,4,1924161024,50,0.11453236826323528,0.1189053455960598
Gemstone-Models/Gemstone-1536x50,1,5,1924161024,50,0.1352171689361423,0.13097817581230853
Gemstone-Models/Gemstone-1536x50,1,6,1924161024,50,0.13091288428675302,0.16242336285896258
Gemstone-Models/Gemstone-1536x50,1,7,1924161024,50,0.13485498165896342,0.11850251462002905
Gemstone-Models/Gemstone-1536x50,1,8,1924161024,50,0.14716931740689024,0.12930066150951533
Gemstone-Models/Gemstone-1536x50,1,9,1924161024,50,0.13795874550849105,0.18895078552243583
Gemstone-Models/Gemstone-1536x50,1,10,1924161024,50,0.1193824515037529,0.1755743767036958
Gemstone-Models/Gemstone-1536x50,1,11,1924161024,50,0.13665851464008422,0.09808522933260631
Gemstone-Models/Gemstone-1536x50,1,12,1924161024,50,0.13580590966451273,0.0940841597353888
Gemstone-Models/Gemstone-1536x50,2,1,1924161024,50,0.22773685932785895,0.15668560425518777
Gemstone-Models/Gemstone-1536x50,2,2,1924161024,50,0.22445269033044304,0.15083995068518513
Gemstone-Models/Gemstone-1536x50,2,3,1924161024,50,0.18496863447778572,0.1586350930530253
Gemstone-Models/Gemstone-1536x50,2,4,1924161024,50,0.19437689029866148,0.16394163005042806
Gemstone-Models/Gemstone-1536x50,2,5,1924161024,50,0.13556006856195557,0.12842063861129963
Gemstone-Models/Gemstone-1536x50,2,6,1924161024,50,0.15334557306144506,0.14673148165806543
Gemstone-Models/Gemstone-1536x50,2,7,1924161024,50,0.23106961248738983,0.1283402009895099
Gemstone-Models/Gemstone-1536x50,2,8,1924161024,50,0.19203959463594908,0.13861947482614004
Gemstone-Models/Gemstone-1536x50,2,9,1924161024,50,0.16167895724107548,0.22439884925792522
Gemstone-Models/Gemstone-1536x50,2,10,1924161024,50,0.12622306727477017,0.24683796670343777
Gemstone-Models/Gemstone-1536x50,2,11,1924161024,50,0.18173421476338356,0.12065100747610888
Gemstone-Models/Gemstone-1536x50,2,12,1924161024,50,0.1706166746536711,0.11945544744285194
