mpath,Layer,Head,n_params,n_layers,mean_1back,mean_first
Gemstone-Models/Gemstone-256x71,1,1,95588096,71,0.12020929580604704,0.16751155209680035
Gemstone-Models/Gemstone-256x71,1,2,95588096,71,0.13540671772516522,0.1598286106888842
Gemstone-Models/Gemstone-256x71,2,1,95588096,71,0.12786624063779636,0.17572403215319363
Gemstone-Models/Gemstone-256x71,2,2,95588096,71,0.3216291848603669,0.12178036626484297
Gemstone-Models/Gemstone-256x71,3,1,95588096,71,0.07854557932877501,0.17974592164136444
Gemstone-Models/Gemstone-256x71,3,2,95588096,71,0.2128862851039246,0.15166001079195698
Gemstone-Models/Gemstone-256x71,4,1,95588096,71,0.4723114563493399,0.1269933877193981
Gemstone-Models/Gemstone-256x71,4,2,95588096,71,0.12736508386718615,0.20556341663181957
Gemstone-Models/Gemstone-256x71,5,1,95588096,71,0.23916953779734645,0.1655489148868544
Gemstone-Models/Gemstone-256x71,5,2,95588096,71,0.66354222385375,0.10110476873703185
Gemstone-Models/Gemstone-256x71,6,1,95588096,71,0.12990763382958215,0.23602502850966675
Gemstone-Models/Gemstone-256x71,6,2,95588096,71,0.1397079865450973,0.2534434285529472
Gemstone-Models/Gemstone-256x71,7,1,95588096,71,0.09277567760207807,0.3097779717486541
Gemstone-Models/Gemstone-256x71,7,2,95588096,71,0.2329206050068766,0.21043553291162745
Gemstone-Models/Gemstone-256x71,8,1,95588096,71,0.202854505004557,0.3063250823175763
Gemstone-Models/Gemstone-256x71,8,2,95588096,71,0.19625887058831903,0.33291705669247884
Gemstone-Models/Gemstone-256x71,9,1,95588096,71,0.10075495648827097,0.36682440897634433
Gemstone-Models/Gemstone-256x71,9,2,95588096,71,0.11590193308241012,0.2980056579361806
Gemstone-Models/Gemstone-256x71,10,1,95588096,71,0.10476109664048157,0.376828940557288
Gemstone-Models/Gemstone-256x71,10,2,95588096,71,0.10947135289398216,0.370678450117956
Gemstone-Models/Gemstone-256x71,11,1,95588096,71,0.11690677466379984,0.403645108803525
Gemstone-Models/Gemstone-256x71,11,2,95588096,71,0.11277060785160226,0.3778131325077545
Gemstone-Models/Gemstone-256x71,12,1,95588096,71,0.0982172550862884,0.37977251930682504
Gemstone-Models/Gemstone-256x71,12,2,95588096,71,0.09811445752399278,0.39538281906519207
Gemstone-Models/Gemstone-256x71,13,1,95588096,71,0.12077757895171817,0.3980899170354322
Gemstone-Models/Gemstone-256x71,13,2,95588096,71,0.18297077574439946,0.38432883848254384
Gemstone-Models/Gemstone-256x71,14,1,95588096,71,0.10646119036406901,0.4269925325818069
Gemstone-Models/Gemstone-256x71,14,2,95588096,71,0.07717678718291242,0.4353464811301983
Gemstone-Models/Gemstone-256x71,15,1,95588096,71,0.3093761024219137,0.2976259299226709
Gemstone-Models/Gemstone-256x71,15,2,95588096,71,0.10791826690617083,0.42384384792890994
Gemstone-Models/Gemstone-256x71,16,1,95588096,71,0.20802061499149588,0.337663996763326
Gemstone-Models/Gemstone-256x71,16,2,95588096,71,0.1693994072867227,0.3915187179505288
Gemstone-Models/Gemstone-256x71,17,1,95588096,71,0.16466470735074876,0.42723701332692987
Gemstone-Models/Gemstone-256x71,17,2,95588096,71,0.06882769391276274,0.48270846028496195
Gemstone-Models/Gemstone-256x71,18,1,95588096,71,0.2460795516992832,0.3426846306737478
Gemstone-Models/Gemstone-256x71,18,2,95588096,71,0.3359630157326434,0.3440012332421165
Gemstone-Models/Gemstone-256x71,19,1,95588096,71,0.18456880571516424,0.4070010461562031
Gemstone-Models/Gemstone-256x71,19,2,95588096,71,0.13383214117528436,0.4120818572090911
Gemstone-Models/Gemstone-256x71,20,1,95588096,71,0.19391296006314027,0.39338016422750716
Gemstone-Models/Gemstone-256x71,20,2,95588096,71,0.10896457313327813,0.42079971068435246
Gemstone-Models/Gemstone-256x71,21,1,95588096,71,0.262537359766237,0.3368977789093066
Gemstone-Models/Gemstone-256x71,21,2,95588096,71,0.12205070581611566,0.35006933781254035
Gemstone-Models/Gemstone-256x71,22,1,95588096,71,0.21623785850835273,0.37066393753922017
Gemstone-Models/Gemstone-256x71,22,2,95588096,71,0.1417800361799585,0.41038901587058835
Gemstone-Models/Gemstone-256x71,23,1,95588096,71,0.16964493168366918,0.3074595374880252
Gemstone-Models/Gemstone-256x71,23,2,95588096,71,0.7251070110468535,0.11566329730378164
Gemstone-Models/Gemstone-256x71,24,1,95588096,71,0.17051403451565503,0.3477874354490109
Gemstone-Models/Gemstone-256x71,24,2,95588096,71,0.32019165205257427,0.3240212358690954
