mpath,Layer,Head,n_params,n_layers,mean_1back,mean_first
Gemstone-Models/Gemstone-1792x18,1,1,1047397120,18,0.1380853016298633,0.09680964250268562
Gemstone-Models/Gemstone-1792x18,1,2,1047397120,18,0.11472109704650375,0.1934767719693817
Gemstone-Models/Gemstone-1792x18,1,3,1047397120,18,0.13986888332656014,0.11924329165973369
Gemstone-Models/Gemstone-1792x18,1,4,1047397120,18,0.14364114503289482,0.07911549957172645
Gemstone-Models/Gemstone-1792x18,1,5,1047397120,18,0.13452976940943667,0.11892749703217953
Gemstone-Models/Gemstone-1792x18,1,6,1047397120,18,0.13585570738189387,0.1205902164466343
Gemstone-Models/Gemstone-1792x18,1,7,1047397120,18,0.14110995877209723,0.13804208989011807
Gemstone-Models/Gemstone-1792x18,1,8,1047397120,18,0.1387658809946553,0.164267652072348
Gemstone-Models/Gemstone-1792x18,1,9,1047397120,18,0.3558000153875923,0.12053652962127154
Gemstone-Models/Gemstone-1792x18,1,10,1047397120,18,0.1708871726024974,0.1576641966999919
Gemstone-Models/Gemstone-1792x18,1,11,1047397120,18,0.14521366389127102,0.17984830473155317
Gemstone-Models/Gemstone-1792x18,1,12,1047397120,18,0.1263696778420213,0.19663213582726208
Gemstone-Models/Gemstone-1792x18,1,13,1047397120,18,0.13614242898675052,0.1103930906266779
Gemstone-Models/Gemstone-1792x18,1,14,1047397120,18,0.1392119510306252,0.09670595103712586
Gemstone-Models/Gemstone-1792x18,2,1,1047397120,18,0.1790738721285854,0.13005925284827252
Gemstone-Models/Gemstone-1792x18,2,2,1047397120,18,0.3021351877633515,0.1294176123711887
Gemstone-Models/Gemstone-1792x18,2,3,1047397120,18,0.09051305431223752,0.2787777854314258
Gemstone-Models/Gemstone-1792x18,2,4,1047397120,18,0.1823983578844829,0.21411267396722644
Gemstone-Models/Gemstone-1792x18,2,5,1047397120,18,0.17058200548003025,0.16955846715886308
Gemstone-Models/Gemstone-1792x18,2,6,1047397120,18,0.2056178886991542,0.1759234831050351
Gemstone-Models/Gemstone-1792x18,2,7,1047397120,18,0.14065905043983956,0.18798973378879166
Gemstone-Models/Gemstone-1792x18,2,8,1047397120,18,0.07327038066198782,0.13408749334950432
Gemstone-Models/Gemstone-1792x18,2,9,1047397120,18,0.7194701997009484,0.09571679609103331
Gemstone-Models/Gemstone-1792x18,2,10,1047397120,18,0.3471452017669921,0.13394519376258052
Gemstone-Models/Gemstone-1792x18,2,11,1047397120,18,0.17351424867460674,0.185475692888526
Gemstone-Models/Gemstone-1792x18,2,12,1047397120,18,0.1620389812544838,0.18584151962889472
Gemstone-Models/Gemstone-1792x18,2,13,1047397120,18,0.3520406782627105,0.1460995013313787
Gemstone-Models/Gemstone-1792x18,2,14,1047397120,18,0.19155961032341545,0.14929756031346478
Gemstone-Models/Gemstone-1792x18,3,1,1047397120,18,0.09269701665429557,0.21298461797291984
