mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back,mean_first
EleutherAI/pythia-14m,513,step512,1,1,7,seed7,14067712,6,0.6904392440602185,2.8264441910364173,0.00696469930382816,0.12210764697901118,0.16199039945283805
EleutherAI/pythia-14m,513,step512,1,2,7,seed7,14067712,6,0.6267070168404436,2.7654619077234734,0.006696896379127886,0.11857918498327241,0.15703180538596687
EleutherAI/pythia-14m,513,step512,1,3,7,seed7,14067712,6,0.6797850770179347,2.807320782844142,0.006918826035837257,0.12120819804412462,0.16337304355929022
EleutherAI/pythia-14m,513,step512,1,4,7,seed7,14067712,6,0.6138112299670313,2.746980385278753,0.006865055619169665,0.11925301807107506,0.15683566038314997
EleutherAI/pythia-14m,513,step512,2,1,7,seed7,14067712,6,0.7862425088434969,3.1551158090122557,0.0075746293211314125,0.13467527122178052,0.13827538817516852
EleutherAI/pythia-14m,513,step512,2,2,7,seed7,14067712,6,0.7718575559687244,2.956061394769555,0.0072262107508506215,0.1272076348474881,0.14741326768969268
EleutherAI/pythia-14m,513,step512,2,3,7,seed7,14067712,6,0.6748927199257179,2.875809814570695,0.006987216890567345,0.12366080382564758,0.13256034845145073
EleutherAI/pythia-14m,513,step512,2,4,7,seed7,14067712,6,0.7062707237741811,2.6693765203468685,0.006700975480645217,0.11638647108688364,0.16267062572051988
EleutherAI/pythia-14m,513,step512,3,1,7,seed7,14067712,6,1.1374355556205937,5.092706997428885,0.010479774615643119,0.20257506069836312,0.11205079152553643
EleutherAI/pythia-14m,513,step512,3,2,7,seed7,14067712,6,0.8292856139773405,3.8466656295884425,0.008416292974372023,0.1570824478213135,0.1310090102456711
EleutherAI/pythia-14m,513,step512,3,3,7,seed7,14067712,6,0.7835908676138778,3.2697437635907547,0.0076048531609285465,0.13720133306609614,0.1267304445026783
EleutherAI/pythia-14m,513,step512,3,4,7,seed7,14067712,6,0.7547096373957083,2.959234739201443,0.007306142729991054,0.12843710837980823,0.12958136459605557
EleutherAI/pythia-14m,513,step512,4,1,7,seed7,14067712,6,0.7711153673902462,3.0732749436252944,0.007086901446841934,0.12835503351111127,0.17500414951024826
EleutherAI/pythia-14m,513,step512,4,2,7,seed7,14067712,6,0.663861034196824,2.6438081224162557,0.006623569855405075,0.11514870413542684,0.13683650472310477
EleutherAI/pythia-14m,513,step512,4,3,7,seed7,14067712,6,0.630331767422222,3.0130395302775006,0.007196000355799313,0.12852015560520835,0.1398879036240212
EleutherAI/pythia-14m,513,step512,4,4,7,seed7,14067712,6,0.8582640095231101,3.7270951115673476,0.008477980021937143,0.15516975849822115,0.11817819080749024
EleutherAI/pythia-14m,513,step512,5,1,7,seed7,14067712,6,0.7391320657102058,3.0793237976028087,0.007588942161661236,0.13317694979252753,0.12811800225305034
EleutherAI/pythia-14m,513,step512,5,2,7,seed7,14067712,6,0.7767306083319725,2.8295176649253584,0.007211786641914029,0.12430399342498796,0.158881653077878
EleutherAI/pythia-14m,513,step512,5,3,7,seed7,14067712,6,0.7483899428844913,2.9755309810813673,0.007393817807749044,0.1290740709326736,0.14201382814428287
EleutherAI/pythia-14m,513,step512,5,4,7,seed7,14067712,6,0.7305290809746926,2.9819330302419,0.0075028428316917745,0.13041889413005414,0.12344069616986551
EleutherAI/pythia-14m,513,step512,6,1,7,seed7,14067712,6,0.7499530888520863,3.238810096927905,0.007931205130139658,0.1395832052001276,0.1552745837539255
EleutherAI/pythia-14m,513,step512,6,2,7,seed7,14067712,6,0.6847601406987991,2.7802543468263283,0.006907428794833328,0.12055296279691356,0.1471139156139335
EleutherAI/pythia-14m,513,step512,6,3,7,seed7,14067712,6,0.7961557731007717,3.273392218127497,0.007994875176334123,0.14115558075788495,0.12254083466187518
EleutherAI/pythia-14m,513,step512,6,4,7,seed7,14067712,6,0.8175557264438488,3.03453910476028,0.007493638925797999,0.13127042275962525,0.15184891598114555
