mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction
EleutherAI/pythia-160m,10001,step10000,1,1,2,seed2,162322944,12,0.43519569947966996,2.722442140928735,0.006300817288029711
EleutherAI/pythia-160m,10001,step10000,1,2,2,seed2,162322944,12,0.5965868549589981,3.6859188820399664,0.007767345361607356
EleutherAI/pythia-160m,10001,step10000,1,3,2,seed2,162322944,12,0.6680145845552024,3.3909625598796795,0.0075932957863200775
EleutherAI/pythia-160m,10001,step10000,1,4,2,seed2,162322944,12,1.2475693976036228,6.126875543651043,0.012156708788610797
EleutherAI/pythia-160m,10001,step10000,1,5,2,seed2,162322944,12,1.070307904039796,4.482464947072609,0.009699082306894301
EleutherAI/pythia-160m,10001,step10000,1,6,2,seed2,162322944,12,1.6054673642026525,6.87907199866205,0.013567654748982498
EleutherAI/pythia-160m,10001,step10000,1,7,2,seed2,162322944,12,0.39616838612816035,2.504433413906739,0.005827187515761624
EleutherAI/pythia-160m,10001,step10000,1,8,2,seed2,162322944,12,0.4951295304163016,2.693620605552856,0.006307423121350039
EleutherAI/pythia-160m,10001,step10000,1,9,2,seed2,162322944,12,0.9720498628317861,6.3045258979261,0.011574623017185768
EleutherAI/pythia-160m,10001,step10000,1,10,2,seed2,162322944,12,0.514640901670564,2.9743237998431535,0.00676395732677785
EleutherAI/pythia-160m,10001,step10000,1,11,2,seed2,162322944,12,0.4297815679410296,2.70815766257127,0.006129295371948756
EleutherAI/pythia-160m,10001,step10000,1,12,2,seed2,162322944,12,1.782395647261575,7.539879816810336,0.014563164632242241
EleutherAI/pythia-160m,10001,step10000,2,1,2,seed2,162322944,12,1.585427431888153,9.014335595784912,0.016618967455110812
EleutherAI/pythia-160m,10001,step10000,2,2,2,seed2,162322944,12,0.21477099072260258,1.7399501328151492,0.004002369547348026
EleutherAI/pythia-160m,10001,step10000,2,3,2,seed2,162322944,12,0.554834540612603,3.140903821793289,0.007599966548350926
EleutherAI/pythia-160m,10001,step10000,2,4,2,seed2,162322944,12,1.2403515511918668,6.2899015484364975,0.012501130774701311
EleutherAI/pythia-160m,10001,step10000,2,5,2,seed2,162322944,12,0.8601114295768972,3.453586295906835,0.008402214006188428
EleutherAI/pythia-160m,10001,step10000,2,6,2,seed2,162322944,12,1.8861710410163068,8.89976498196985,0.01661169761626693
EleutherAI/pythia-160m,10001,step10000,2,7,2,seed2,162322944,12,0.7753307648615931,3.77057261730419,0.007916200866256266
EleutherAI/pythia-160m,10001,step10000,2,8,2,seed2,162322944,12,0.6872790690326375,3.1573301466978934,0.007422822194587492
EleutherAI/pythia-160m,10001,step10000,2,9,2,seed2,162322944,12,1.6855491514519765,14.120994721669081,0.023833854414396054
EleutherAI/pythia-160m,10001,step10000,2,10,2,seed2,162322944,12,1.4747833021210186,8.592458844007718,0.01576329998464882
EleutherAI/pythia-160m,10001,step10000,2,11,2,seed2,162322944,12,1.2883746302367292,6.033682877565804,0.011826155391203266
EleutherAI/pythia-160m,10001,step10000,2,12,2,seed2,162322944,12,1.2080791575752203,5.167933707129232,0.010964211359971757
EleutherAI/pythia-160m,10001,step10000,3,1,2,seed2,162322944,12,0.5090105886221498,3.396698990728891,0.007195708270930679
EleutherAI/pythia-160m,10001,step10000,3,2,2,seed2,162322944,12,1.2642266057041047,8.988592789810212,0.01633536294728722
EleutherAI/pythia-160m,10001,step10000,3,3,2,seed2,162322944,12,0.7311130879874267,7.087514868714012,0.01251578665417027
EleutherAI/pythia-160m,10001,step10000,3,4,2,seed2,162322944,12,1.9165189486184635,11.748269270969846,0.020430143399244226
EleutherAI/pythia-160m,10001,step10000,3,5,2,seed2,162322944,12,0.7780253229296719,4.433255894476647,0.00945810172164423
EleutherAI/pythia-160m,10001,step10000,3,6,2,seed2,162322944,12,0.5572444824620427,3.1069581709375678,0.007079454847605532
EleutherAI/pythia-160m,10001,step10000,3,7,2,seed2,162322944,12,0.6810395452660687,4.7845046400810105,0.00939859735692583
EleutherAI/pythia-160m,10001,step10000,3,8,2,seed2,162322944,12,1.393686240150361,6.88845754295728,0.012837295419890236
EleutherAI/pythia-160m,10001,step10000,3,9,2,seed2,162322944,12,0.5332203937042341,3.0777915055221996,0.007236385738486412
EleutherAI/pythia-160m,10001,step10000,3,10,2,seed2,162322944,12,4.939268513952658,21.54748498809204,0.03667913704684399
EleutherAI/pythia-160m,10001,step10000,3,11,2,seed2,162322944,12,0.9667183441823322,4.146802367196868,0.009163865653210514
EleutherAI/pythia-160m,10001,step10000,3,12,2,seed2,162322944,12,1.6655641435258064,10.221385457811456,0.018247878292284466
EleutherAI/pythia-160m,10001,step10000,4,1,2,seed2,162322944,12,0.5397903820177725,2.922785128893336,0.006509767463102032
EleutherAI/pythia-160m,10001,step10000,4,2,2,seed2,162322944,12,0.5496408166704402,4.796232259164551,0.00940510468791435
EleutherAI/pythia-160m,10001,step10000,4,3,2,seed2,162322944,12,0.7552305676642685,3.992511309640869,0.008404216291666742
EleutherAI/pythia-160m,10001,step10000,4,4,2,seed2,162322944,12,0.6389022510111915,3.080866555582022,0.00715275803730517
EleutherAI/pythia-160m,10001,step10000,4,5,2,seed2,162322944,12,5.034260616414693,20.617950411446536,0.034947799381384544
EleutherAI/pythia-160m,10001,step10000,4,6,2,seed2,162322944,12,0.07096471262861902,1.3319585464600696,0.0025832894106741413
EleutherAI/pythia-160m,10001,step10000,4,7,2,seed2,162322944,12,0.975652939073252,2.9799840142570755,0.006831629560532902
EleutherAI/pythia-160m,10001,step10000,4,8,2,seed2,162322944,12,1.121250671274523,4.696456206113087,0.009246637512144083
EleutherAI/pythia-160m,10001,step10000,4,9,2,seed2,162322944,12,1.282960157704669,8.044644352941061,0.014638154320338907
EleutherAI/pythia-160m,10001,step10000,4,10,2,seed2,162322944,12,1.8101851876407618,11.054444648865616,0.019740070673105216
