mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back,mean_first
EleutherAI/pythia-14m,50001,step50000,1,1,3,seed3,14067712,6,0.41187389529873875,4.236434178857597,0.00786995124325393,0.16131712566759132,0.11059958393218455
EleutherAI/pythia-14m,50001,step50000,1,2,3,seed3,14067712,6,0.6972031436670467,3.100885474340826,0.007360281712725725,0.13201949186063738,0.10471685272263913
EleutherAI/pythia-14m,50001,step50000,1,3,3,seed3,14067712,6,0.7044601001088859,3.81614176790808,0.008356585982950695,0.15603463633640388,0.14558261571110812
EleutherAI/pythia-14m,50001,step50000,1,4,3,seed3,14067712,6,0.4602028361707951,4.457610276034333,0.008664685668010418,0.1725902770039018,0.13865751498197018
EleutherAI/pythia-14m,50001,step50000,2,1,3,seed3,14067712,6,0.31203824948203396,5.880672280775479,0.010058179883955238,0.2169267091838581,0.07311629733579739
EleutherAI/pythia-14m,50001,step50000,2,2,3,seed3,14067712,6,0.49633745042299415,3.5596543070857423,0.0074136985907879965,0.14235773470599547,0.12707082632168362
EleutherAI/pythia-14m,50001,step50000,2,3,3,seed3,14067712,6,0.8729147690389217,5.6137550517989325,0.010969722475030272,0.2184807607406252,0.1680165987151364
EleutherAI/pythia-14m,50001,step50000,2,4,3,seed3,14067712,6,1.1535436613094285,11.812097233890292,0.020387209791807418,0.43615697727010055,0.09239346720557935
EleutherAI/pythia-14m,50001,step50000,3,1,3,seed3,14067712,6,0.8102372254270227,4.35029085632107,0.008879289109732938,0.17184316959825002,0.16074922690084115
EleutherAI/pythia-14m,50001,step50000,3,2,3,seed3,14067712,6,0.2532841753236183,1.771368015978782,0.0042751308304999356,0.07578713756737046,0.19119336295246447
EleutherAI/pythia-14m,50001,step50000,3,3,3,seed3,14067712,6,0.12332143230085778,1.228725517946986,0.002832328616898964,0.05160674551262742,0.11198102769528598
EleutherAI/pythia-14m,50001,step50000,3,4,3,seed3,14067712,6,0.7423725818430857,9.441697156359885,0.016086333663398983,0.3470002502739966,0.0819925157515494
EleutherAI/pythia-14m,50001,step50000,4,1,3,seed3,14067712,6,0.7543390638770653,7.649668264247197,0.013667343325614595,0.2871471327077877,0.09935771076528871
EleutherAI/pythia-14m,50001,step50000,4,2,3,seed3,14067712,6,3.3924906028209874,18.52411485874882,0.0313218837648219,0.6780758050826935,0.09733209211949825
EleutherAI/pythia-14m,50001,step50000,4,3,3,seed3,14067712,6,0.804582885318851,3.5632053438136437,0.007747367241191444,0.14476377091876733,0.22056714794388757
EleutherAI/pythia-14m,50001,step50000,4,4,3,seed3,14067712,6,2.1788340155679,16.360163565182795,0.028028273934666174,0.6019586839743921,0.08862798809781443
EleutherAI/pythia-14m,50001,step50000,5,1,3,seed3,14067712,6,0.6090156973889206,1.2432647350251245,0.0037432364523734205,0.05850181874173043,0.7262634737025555
EleutherAI/pythia-14m,50001,step50000,5,2,3,seed3,14067712,6,0.6981524957921853,1.8325107287166778,0.004751858788773515,0.08048329895289538,0.49785648949175804
EleutherAI/pythia-14m,50001,step50000,5,3,3,seed3,14067712,6,0.7864593713824809,2.773002466503245,0.00650792711089608,0.11675471611678954,0.33019466844720163
EleutherAI/pythia-14m,50001,step50000,5,4,3,seed3,14067712,6,0.613716020785609,1.2133176958064489,0.0036878337786401187,0.05733328982180836,0.7419177278003715
EleutherAI/pythia-14m,50001,step50000,6,1,3,seed3,14067712,6,0.4792472637479874,5.388743900694715,0.009932533810401573,0.20421728620434304,0.10404503734799114
EleutherAI/pythia-14m,50001,step50000,6,2,3,seed3,14067712,6,1.0810281380173268,2.4151791308018873,0.005840994534157636,0.10312178421572585,0.3546123113427255
EleutherAI/pythia-14m,50001,step50000,6,3,3,seed3,14067712,6,0.6173010249006068,5.996729002975857,0.011093348359032659,0.22743384676563128,0.10799576388252476
EleutherAI/pythia-14m,50001,step50000,6,4,3,seed3,14067712,6,0.724100972755111,2.1573252346974034,0.005308344004846392,0.09259917884617593,0.4155094481657844
