mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction
EleutherAI/pythia-70m,1001,step1000,1,1,8,seed8,70426624,6,0.4773774893281774,2.5984467667218083,0.006268077974331981
EleutherAI/pythia-70m,1001,step1000,1,2,8,seed8,70426624,6,0.4220635899980001,2.520494275003791,0.005912694246902888
EleutherAI/pythia-70m,1001,step1000,1,3,8,seed8,70426624,6,0.5727222267326219,2.683502443465354,0.006393158900737872
EleutherAI/pythia-70m,1001,step1000,1,4,8,seed8,70426624,6,0.501816502851822,2.593442406652195,0.0062314681883278026
EleutherAI/pythia-70m,1001,step1000,1,5,8,seed8,70426624,6,0.4369689452572567,2.461682824452707,0.00594346612343864
EleutherAI/pythia-70m,1001,step1000,1,6,8,seed8,70426624,6,0.5023585488142166,2.542809663787779,0.006184852005691032
EleutherAI/pythia-70m,1001,step1000,1,7,8,seed8,70426624,6,0.5435700594453364,2.651995722477647,0.006428100487470353
EleutherAI/pythia-70m,1001,step1000,1,8,8,seed8,70426624,6,0.38205088834407513,2.416669312273987,0.005721693479124322
EleutherAI/pythia-70m,1001,step1000,2,1,8,seed8,70426624,6,1.4234118028323288,9.055705952296721,0.016070603258802166
EleutherAI/pythia-70m,1001,step1000,2,2,8,seed8,70426624,6,1.1458608279701994,5.5211020961912824,0.011190193810079109
EleutherAI/pythia-70m,1001,step1000,2,3,8,seed8,70426624,6,1.1567641804059985,6.9912530225749085,0.013137787020568534
EleutherAI/pythia-70m,1001,step1000,2,4,8,seed8,70426624,6,0.6596449711386877,3.870636497929073,0.008276213509222268
EleutherAI/pythia-70m,1001,step1000,2,5,8,seed8,70426624,6,0.8944176407045312,5.584940789882391,0.010952780474304648
EleutherAI/pythia-70m,1001,step1000,2,6,8,seed8,70426624,6,0.6537102453244488,3.0581076842039416,0.007161477286670294
EleutherAI/pythia-70m,1001,step1000,2,7,8,seed8,70426624,6,0.9117797812890202,4.582215469857051,0.009586926828108846
EleutherAI/pythia-70m,1001,step1000,2,8,8,seed8,70426624,6,0.6855332080549976,3.9719273567889193,0.008791521452404168
EleutherAI/pythia-70m,1001,step1000,3,1,8,seed8,70426624,6,1.394836672764876,8.728768890899417,0.015921817846554855
EleutherAI/pythia-70m,1001,step1000,3,2,8,seed8,70426624,6,1.2111382996285418,5.871429687354363,0.011497733550569024
EleutherAI/pythia-70m,1001,step1000,3,3,8,seed8,70426624,6,3.6625744137110305,20.0142933984805,0.033575886010212
EleutherAI/pythia-70m,1001,step1000,3,4,8,seed8,70426624,6,1.3180347542213902,5.766512327958691,0.011085293542821752
EleutherAI/pythia-70m,1001,step1000,3,5,8,seed8,70426624,6,0.6883068744029318,2.8219448230213526,0.006802286832635118
EleutherAI/pythia-70m,1001,step1000,3,6,8,seed8,70426624,6,1.171923035826427,8.112185680927318,0.014311175473700102
EleutherAI/pythia-70m,1001,step1000,3,7,8,seed8,70426624,6,0.7808617641177688,3.9978117947731615,0.00839101740834331
EleutherAI/pythia-70m,1001,step1000,3,8,8,seed8,70426624,6,0.7162610000619981,3.4763149957191075,0.007860492488716857
EleutherAI/pythia-70m,1001,step1000,4,1,8,seed8,70426624,6,0.5988466600035431,3.079231640955222,0.006957809645600753
EleutherAI/pythia-70m,1001,step1000,4,2,8,seed8,70426624,6,2.1030049743522525,14.004634911007052,0.02433043629967132
EleutherAI/pythia-70m,1001,step1000,4,3,8,seed8,70426624,6,0.24011540557620006,3.4013912706236766,0.006570418594063004
EleutherAI/pythia-70m,1001,step1000,4,4,8,seed8,70426624,6,1.0911098745081977,9.028312680459386,0.016117269391737046
EleutherAI/pythia-70m,1001,step1000,4,5,8,seed8,70426624,6,0.5768929707005571,3.997510051564195,0.008487261998918675
EleutherAI/pythia-70m,1001,step1000,4,6,8,seed8,70426624,6,1.222100850643013,8.890847590205887,0.01584112724304819
EleutherAI/pythia-70m,1001,step1000,4,7,8,seed8,70426624,6,0.600256444660501,2.91206944514982,0.007090520774420307
EleutherAI/pythia-70m,1001,step1000,4,8,8,seed8,70426624,6,0.8574151091486945,5.464952783002308,0.010735951165168463
EleutherAI/pythia-70m,1001,step1000,5,1,8,seed8,70426624,6,0.7669795525178024,8.020581628783429,0.014231221119075193
EleutherAI/pythia-70m,1001,step1000,5,2,8,seed8,70426624,6,0.6071607398178739,3.4850068299914794,0.007866964951735195
EleutherAI/pythia-70m,1001,step1000,5,3,8,seed8,70426624,6,0.5941875928991618,3.276673658700614,0.007466081004275303
EleutherAI/pythia-70m,1001,step1000,5,4,8,seed8,70426624,6,0.3855019824937874,2.7680532357113123,0.006452474798434101
EleutherAI/pythia-70m,1001,step1000,5,5,8,seed8,70426624,6,0.5142452158548142,3.0265579374866944,0.007088636758744509
EleutherAI/pythia-70m,1001,step1000,5,6,8,seed8,70426624,6,0.8074795162642188,5.574536908655618,0.010833459059551147
EleutherAI/pythia-70m,1001,step1000,5,7,8,seed8,70426624,6,0.6684506265055025,2.8957705863057916,0.006808954312327241
EleutherAI/pythia-70m,1001,step1000,5,8,8,seed8,70426624,6,0.46528025574948195,2.9725186944140956,0.00685448131804528
EleutherAI/pythia-70m,1001,step1000,6,1,8,seed8,70426624,6,0.7097781014163289,3.631003233299666,0.00778205218345045
EleutherAI/pythia-70m,1001,step1000,6,2,8,seed8,70426624,6,0.5412415723504516,2.6246132979682866,0.006332603775276168
EleutherAI/pythia-70m,1001,step1000,6,3,8,seed8,70426624,6,0.6529091178004395,3.4760204006260786,0.007798551598033926
EleutherAI/pythia-70m,1001,step1000,6,4,8,seed8,70426624,6,0.5204082763486509,2.889730839463166,0.006875652095910386
EleutherAI/pythia-70m,1001,step1000,6,5,8,seed8,70426624,6,0.49608269722071285,2.6786423649026565,0.006363280327291419
EleutherAI/pythia-70m,1001,step1000,6,6,8,seed8,70426624,6,0.6502273704992825,3.8564787715625313,0.008071171937784031
EleutherAI/pythia-70m,1001,step1000,6,7,8,seed8,70426624,6,0.7831948642692643,5.270873528057373,0.010288146230393199
EleutherAI/pythia-70m,1001,step1000,6,8,8,seed8,70426624,6,0.7391710012359263,5.609160731143177,0.01063596775082935
