mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction
EleutherAI/pythia-70m,17,step16,1,1,2,seed2,70426624,6,0.7734348973427343,2.926806773824368,0.007197291158726716
EleutherAI/pythia-70m,17,step16,1,2,2,seed2,70426624,6,0.7240927148735008,2.8691789263541874,0.0070500570659597465
EleutherAI/pythia-70m,17,step16,1,3,2,seed2,70426624,6,0.8089424417987923,2.960339231560218,0.007326535036126924
EleutherAI/pythia-70m,17,step16,1,4,2,seed2,70426624,6,0.7658574033551846,2.900422749116473,0.007160229473844996
EleutherAI/pythia-70m,17,step16,1,5,2,seed2,70426624,6,0.7080573550710669,2.8624677055276604,0.007103258505462412
EleutherAI/pythia-70m,17,step16,1,6,2,seed2,70426624,6,0.7248596741793357,2.858411272460598,0.007046099681868203
EleutherAI/pythia-70m,17,step16,1,7,2,seed2,70426624,6,0.8051611814290188,2.964957878772856,0.007312523875490496
EleutherAI/pythia-70m,17,step16,1,8,2,seed2,70426624,6,0.7804466569904845,2.9315255394424886,0.007281234513962224
EleutherAI/pythia-70m,17,step16,2,1,2,seed2,70426624,6,0.800621259317771,2.9479176402533978,0.007270365335769422
EleutherAI/pythia-70m,17,step16,2,2,2,seed2,70426624,6,0.7827111712334507,2.956164788305954,0.0072785965995662335
EleutherAI/pythia-70m,17,step16,2,3,2,seed2,70426624,6,0.7824707223860667,2.9625947573810056,0.007229024147146191
EleutherAI/pythia-70m,17,step16,2,4,2,seed2,70426624,6,0.7808314507560278,2.8930107572714987,0.007152066496245295
EleutherAI/pythia-70m,17,step16,2,5,2,seed2,70426624,6,0.780901802072124,2.933386137887638,0.0072629109988142345
EleutherAI/pythia-70m,17,step16,2,6,2,seed2,70426624,6,0.7775304646797633,2.9532979128619115,0.007247054437562372
EleutherAI/pythia-70m,17,step16,2,7,2,seed2,70426624,6,0.8304459576234862,3.0040391340020887,0.00733771288420153
EleutherAI/pythia-70m,17,step16,2,8,2,seed2,70426624,6,0.7765221116067389,2.9645435880937496,0.007256470086424792
EleutherAI/pythia-70m,17,step16,3,1,2,seed2,70426624,6,0.7700353568927821,2.9163710595261367,0.007206572634171776
EleutherAI/pythia-70m,17,step16,3,2,2,seed2,70426624,6,0.7831403591363135,2.988115823827633,0.00728696904926782
EleutherAI/pythia-70m,17,step16,3,3,2,seed2,70426624,6,0.7876464225904416,2.9317231721153583,0.007209484663813424
EleutherAI/pythia-70m,17,step16,3,4,2,seed2,70426624,6,0.7617721134773262,2.9492087880700466,0.0072369678658584825
EleutherAI/pythia-70m,17,step16,3,5,2,seed2,70426624,6,0.8063688978731309,2.9919084020699085,0.007373783653612634
EleutherAI/pythia-70m,17,step16,3,6,2,seed2,70426624,6,0.7901457387620352,2.911232970009287,0.007167201385850328
EleutherAI/pythia-70m,17,step16,3,7,2,seed2,70426624,6,0.7947832527262887,2.933491904417249,0.007281727240196158
EleutherAI/pythia-70m,17,step16,3,8,2,seed2,70426624,6,0.7572073584298081,2.929634816417015,0.007164293141690455
EleutherAI/pythia-70m,17,step16,4,1,2,seed2,70426624,6,0.7241748011880366,2.847185389890497,0.007029970843224981
EleutherAI/pythia-70m,17,step16,4,2,2,seed2,70426624,6,0.7485482558435685,2.9310834249638242,0.00716155064462639
EleutherAI/pythia-70m,17,step16,4,3,2,seed2,70426624,6,0.774086441804952,2.90346650220057,0.007163255896441716
EleutherAI/pythia-70m,17,step16,4,4,2,seed2,70426624,6,0.7679289419725084,2.879561759423814,0.007150670537451201
EleutherAI/pythia-70m,17,step16,4,5,2,seed2,70426624,6,0.7515497576366138,2.899592698952161,0.007150952814893124
EleutherAI/pythia-70m,17,step16,4,6,2,seed2,70426624,6,0.7677689026978992,2.91163533583674,0.007166859974497081
EleutherAI/pythia-70m,17,step16,4,7,2,seed2,70426624,6,0.7614945932427107,2.9479037400904944,0.007152582820481865
EleutherAI/pythia-70m,17,step16,4,8,2,seed2,70426624,6,0.8086270431749542,2.9956325545172873,0.0073375708614993535
EleutherAI/pythia-70m,17,step16,5,1,2,seed2,70426624,6,0.7485662671842509,2.9484906929500583,0.007259494935926448
EleutherAI/pythia-70m,17,step16,5,2,2,seed2,70426624,6,0.7402914050072937,2.8498053486734483,0.006997841747034746
EleutherAI/pythia-70m,17,step16,5,3,2,seed2,70426624,6,0.795973508562234,2.875050030947138,0.007113351053341114
EleutherAI/pythia-70m,17,step16,5,4,2,seed2,70426624,6,0.7989864894117378,2.945979934010425,0.007298986307678648
EleutherAI/pythia-70m,17,step16,5,5,2,seed2,70426624,6,0.7386223965298144,2.891188220247064,0.007097037374454502
