mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back,mean_first
EleutherAI/pythia-160m,3,step2,1,1,6,seed6,162322944,12,0.736905779832728,2.8898475694416894,0.007094097065377554,0.12413726248652544,0.16271047409925907
EleutherAI/pythia-160m,3,step2,1,2,6,seed6,162322944,12,0.774138620459705,2.9390954680402843,0.007206740543593301,0.12626062369941765,0.16338418606478528
EleutherAI/pythia-160m,3,step2,1,3,6,seed6,162322944,12,0.7797738759383345,2.946293662337438,0.007237844752944009,0.12667592288227048,0.1656765507494991
EleutherAI/pythia-160m,3,step2,1,4,6,seed6,162322944,12,0.7692470506102059,2.9116172436917087,0.007181087280036295,0.12540194896181242,0.1655822586793978
EleutherAI/pythia-160m,3,step2,1,5,6,seed6,162322944,12,0.7259711696509001,2.8699278159880532,0.007074299165770266,0.12345269829169046,0.1633565864405474
EleutherAI/pythia-160m,3,step2,1,6,6,seed6,162322944,12,0.7995620977190603,2.945771892834934,0.00730735228010165,0.1270972438290849,0.16599145796787626
EleutherAI/pythia-160m,3,step2,1,7,6,seed6,162322944,12,0.7776131034547432,2.932070528961773,0.007249048074628586,0.1263048318144795,0.1666663895017123
EleutherAI/pythia-160m,3,step2,1,8,6,seed6,162322944,12,0.7549548599136363,2.9214088848027853,0.007195679225844945,0.1256528678196328,0.1638934836295005
EleutherAI/pythia-160m,3,step2,1,9,6,seed6,162322944,12,0.794537463328558,2.960358466961206,0.007272973326922382,0.12709168405146207,0.16432870360645083
EleutherAI/pythia-160m,3,step2,1,10,6,seed6,162322944,12,0.7882797628702973,2.9547170542004655,0.007245366678255616,0.12675743464481182,0.16578906555254533
EleutherAI/pythia-160m,3,step2,1,11,6,seed6,162322944,12,0.7594803950501674,2.897388886695912,0.007094082435774334,0.12426140951971566,0.16398315015318868
EleutherAI/pythia-160m,3,step2,1,12,6,seed6,162322944,12,0.7617825128490988,2.901524587847421,0.007160059947044143,0.1249465033546224,0.16494025109900723
EleutherAI/pythia-160m,3,step2,2,1,6,seed6,162322944,12,0.7251305712795024,2.870722210256949,0.007066108514970144,0.12341738266271868,0.15943301259889614
EleutherAI/pythia-160m,3,step2,2,2,6,seed6,162322944,12,0.7684328079711784,2.952583782358459,0.007198545371370933,0.1265347074359297,0.16247486281166737
EleutherAI/pythia-160m,3,step2,2,3,6,seed6,162322944,12,0.7678391234504515,2.9138488620325607,0.007217677908006934,0.12559894964591156,0.16695657265638264
EleutherAI/pythia-160m,3,step2,2,4,6,seed6,162322944,12,0.7551814944875624,2.902611136136133,0.007097834282363869,0.12460976238320536,0.1643923753732675
EleutherAI/pythia-160m,3,step2,2,5,6,seed6,162322944,12,0.77481693560312,2.934427283661398,0.00719765302861633,0.12603559691246383,0.16319544064636163
EleutherAI/pythia-160m,3,step2,2,6,6,seed6,162322944,12,0.7816781535004457,2.9643197186705157,0.00724282977729838,0.12702742253651128,0.1640454425501662
EleutherAI/pythia-160m,3,step2,2,7,6,seed6,162322944,12,0.7517442967505235,2.910316689463157,0.007202276814383674,0.12533522460486612,0.16358961686827575
EleutherAI/pythia-160m,3,step2,2,8,6,seed6,162322944,12,0.7839758209142477,2.9609981929356866,0.007227361245866234,0.12691309050217758,0.16817258937737423
EleutherAI/pythia-160m,3,step2,2,9,6,seed6,162322944,12,0.8296140135858852,2.989700783281426,0.00743291500239317,0.12913996548400264,0.16861410271767915
EleutherAI/pythia-160m,3,step2,2,10,6,seed6,162322944,12,0.7832914453778321,2.9321282401717728,0.0071961066547373345,0.12598833900403686,0.16834326879912842
EleutherAI/pythia-160m,3,step2,2,11,6,seed6,162322944,12,0.730437295550133,2.8512272984440314,0.007054187268292571,0.12286073547807537,0.1646922410496541
EleutherAI/pythia-160m,3,step2,2,12,6,seed6,162322944,12,0.7760027000733891,2.937089806984686,0.007325057585935663,0.12709346729646748,0.16597332202412698
EleutherAI/pythia-160m,3,step2,3,1,6,seed6,162322944,12,0.7610324430712091,2.8916710766211207,0.00715907519933712,0.12449000507324662,0.16911591920028393
EleutherAI/pythia-160m,3,step2,3,2,6,seed6,162322944,12,0.7770233619956329,2.936616354103627,0.0071495957856216475,0.12576037657645725,0.16916052911531276
EleutherAI/pythia-160m,3,step2,3,3,6,seed6,162322944,12,0.7831567125668082,2.9502208803590984,0.00720817927910047,0.12651976656068012,0.1675322003125607
EleutherAI/pythia-160m,3,step2,3,4,6,seed6,162322944,12,0.7639109024398276,2.9362256446680077,0.007266203719635931,0.12639435002015334,0.1646938149456505
EleutherAI/pythia-160m,3,step2,3,5,6,seed6,162322944,12,0.8084718333016746,2.965130515264573,0.007257744561849227,0.12712479313952962,0.1693215114386142
EleutherAI/pythia-160m,3,step2,3,6,6,seed6,162322944,12,0.7538936316395004,2.9236187609381123,0.007203102150480951,0.1256158488604041,0.16658676586284468
EleutherAI/pythia-160m,3,step2,3,7,6,seed6,162322944,12,0.7689215810031421,2.980263748239713,0.007387196544290461,0.12837025026480353,0.16359308829066807
EleutherAI/pythia-160m,3,step2,3,8,6,seed6,162322944,12,0.7583187389945245,2.917991808266693,0.00716495248399613,0.12528491401681308,0.16033965397861086
EleutherAI/pythia-160m,3,step2,3,9,6,seed6,162322944,12,0.762559119772844,2.920869286479415,0.007144823924650786,0.1251989880034157,0.1662086639721114
EleutherAI/pythia-160m,3,step2,3,10,6,seed6,162322944,12,0.7583774880338249,2.881746902754585,0.007107881002605949,0.12396956217271067,0.16810203238471488
EleutherAI/pythia-160m,3,step2,3,11,6,seed6,162322944,12,0.7978969415186217,2.969421830388422,0.007257133787980132,0.1272702149252544,0.17364188995738103
EleutherAI/pythia-160m,3,step2,3,12,6,seed6,162322944,12,0.8150273959693797,2.94276303814163,0.0072635848111933755,0.126665725878946,0.16987634748891664
EleutherAI/pythia-160m,3,step2,4,1,6,seed6,162322944,12,0.7678394259786402,2.9426139261307656,0.007234070287465432,0.1265146549757536,0.16524537295304437
EleutherAI/pythia-160m,3,step2,4,2,6,seed6,162322944,12,0.781712650390409,2.8840684558273924,0.0071194573043054194,0.12403666507173046,0.1650179079076549
EleutherAI/pythia-160m,3,step2,4,3,6,seed6,162322944,12,0.7717150817518877,2.9423986416444783,0.0071975728218966785,0.12623075739824552,0.16618851892225014
EleutherAI/pythia-160m,3,step2,4,4,6,seed6,162322944,12,0.7609060964759345,2.902274927848457,0.007152097238128378,0.12477591727208621,0.16593095280409034
EleutherAI/pythia-160m,3,step2,4,5,6,seed6,162322944,12,0.7379516838418771,2.8825979992002484,0.007123534530063139,0.124054557165584,0.16550723909101145
EleutherAI/pythia-160m,3,step2,4,6,6,seed6,162322944,12,0.7908355950617878,2.935433927391633,0.007238771623641087,0.1263787304764395,0.16791269542822784
EleutherAI/pythia-160m,3,step2,4,7,6,seed6,162322944,12,0.7650682907683201,2.9362885286953495,0.00721157135817021,0.12603955712538578,0.16850983373283798
EleutherAI/pythia-160m,3,step2,4,8,6,seed6,162322944,12,0.7605719740306605,2.91927874765355,0.007162487361286904,0.12536099360690814,0.1668007858712841
EleutherAI/pythia-160m,3,step2,4,9,6,seed6,162322944,12,0.748792696324339,2.8794697618387604,0.007085780984945026,0.12377494444382615,0.16835191212706374
EleutherAI/pythia-160m,3,step2,4,10,6,seed6,162322944,12,0.7921116822926272,2.930771851139509,0.007216455286556844,0.1260042453000137,0.16865227422914703
EleutherAI/pythia-160m,3,step2,4,11,6,seed6,162322944,12,0.7770611853471167,2.981361488445818,0.00731034628471178,0.12798248104437868,0.16069169610447886
EleutherAI/pythia-160m,3,step2,4,12,6,seed6,162322944,12,0.7631268377690436,2.9303575305400313,0.007212873167589082,0.12607615373961556,0.16533906279584842
EleutherAI/pythia-160m,3,step2,5,1,6,seed6,162322944,12,0.7623030980634975,2.9362380763931517,0.007219321730104948,0.12620401639189266,0.16127191787703077
EleutherAI/pythia-160m,3,step2,5,2,6,seed6,162322944,12,0.7564448643775201,2.8986719909871956,0.007151610380656773,0.12476773322881517,0.16775581102493822
EleutherAI/pythia-160m,3,step2,5,3,6,seed6,162322944,12,0.7744884765514322,2.91378967304928,0.0071811444024192156,0.12539075349678502,0.16517370166788406
EleutherAI/pythia-160m,3,step2,5,4,6,seed6,162322944,12,0.7813359543689472,2.9221093895096533,0.007189242033583168,0.12557210565150317,0.16795796710248284
EleutherAI/pythia-160m,3,step2,5,5,6,seed6,162322944,12,0.7725837532924061,3.004230602517263,0.007310548974745813,0.12857826379639603,0.16393756152720776
EleutherAI/pythia-160m,3,step2,5,6,6,seed6,162322944,12,0.7588926870725269,2.957491852480639,0.007172643445759115,0.12649080076173794,0.16162977905737025
EleutherAI/pythia-160m,3,step2,5,7,6,seed6,162322944,12,0.7745642418009498,2.9601829123029137,0.007311955156513236,0.12738270407637672,0.16915837278751814
EleutherAI/pythia-160m,3,step2,5,8,6,seed6,162322944,12,0.7840875592474946,3.026965014391965,0.007401856923114518,0.1297751616451654,0.16710080667300978
EleutherAI/pythia-160m,3,step2,5,9,6,seed6,162322944,12,0.7923151905913275,2.9798979480210357,0.007291314192867654,0.12777106261982749,0.16646270876800687
EleutherAI/pythia-160m,3,step2,5,10,6,seed6,162322944,12,0.7936051828036604,2.951624200058692,0.0072533046789851115,0.12685602153273848,0.16401794234531236
EleutherAI/pythia-160m,3,step2,5,11,6,seed6,162322944,12,0.7413159320544934,2.937930609123772,0.007213891901574653,0.12621302083246516,0.1617958609395109
EleutherAI/pythia-160m,3,step2,5,12,6,seed6,162322944,12,0.7571745675105811,2.8568639813682375,0.0070211281453482315,0.12268882352780468,0.16071073692459775
EleutherAI/pythia-160m,3,step2,6,1,6,seed6,162322944,12,0.7378367035773263,2.909548869433226,0.00714659976041809,0.12507425387342408,0.16216238826938395
EleutherAI/pythia-160m,3,step2,6,2,6,seed6,162322944,12,0.7757367945209468,2.9288706070532946,0.007260467946619955,0.1262766744986221,0.16479548623410606
EleutherAI/pythia-160m,3,step2,6,3,6,seed6,162322944,12,0.7439951965782815,2.8797419083176434,0.007077195441897294,0.12379787655899649,0.16870709770434608
EleutherAI/pythia-160m,3,step2,6,4,6,seed6,162322944,12,0.7637101684389902,2.914348105741748,0.0071190642091550444,0.12489133007690172,0.1685785442176792
EleutherAI/pythia-160m,3,step2,6,5,6,seed6,162322944,12,0.7656133600167376,2.888553809746472,0.007177800422088857,0.12473671659044135,0.16699211735714659
EleutherAI/pythia-160m,3,step2,6,6,6,seed6,162322944,12,0.7471481813319183,2.8880833861494284,0.0071366942288110255,0.12440114095807071,0.16290333174034816
EleutherAI/pythia-160m,3,step2,6,7,6,seed6,162322944,12,0.7779170609505349,2.9543715012665803,0.007241389093533862,0.12681124166951876,0.1607830575849111
EleutherAI/pythia-160m,3,step2,6,8,6,seed6,162322944,12,0.7950426921246316,2.9801732317336915,0.007287696879072452,0.12787518489759064,0.1653079204149432
EleutherAI/pythia-160m,3,step2,6,9,6,seed6,162322944,12,0.7643077742251807,2.917033197564815,0.0071151248372589675,0.12494153715670105,0.169260060246866
EleutherAI/pythia-160m,3,step2,6,10,6,seed6,162322944,12,0.7557520347458536,2.9476873299013446,0.007243474909116623,0.12654619826166116,0.16826807273490288
EleutherAI/pythia-160m,3,step2,6,11,6,seed6,162322944,12,0.7573109581301859,2.8947696272032104,0.007200870758094524,0.12487528586687444,0.16474399489124075
