mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction
EleutherAI/pythia-410m,33,step32,1,1,4,seed4,405334016,24,0.7967054429041454,2.946689296588671,0.007313298567752941
EleutherAI/pythia-410m,33,step32,1,2,4,seed4,405334016,24,0.7749150888318553,2.9137460283675267,0.007164707083314016
EleutherAI/pythia-410m,33,step32,1,3,4,seed4,405334016,24,0.7433171399227293,2.8682602300701263,0.007001859166947875
EleutherAI/pythia-410m,33,step32,1,4,4,seed4,405334016,24,0.78559805365759,2.9503789898376946,0.007342838233292225
EleutherAI/pythia-410m,33,step32,1,5,4,seed4,405334016,24,0.7756129608286076,2.9396901568160696,0.007295613096537917
EleutherAI/pythia-410m,33,step32,1,6,4,seed4,405334016,24,0.798686052769733,2.956611452217805,0.007288970261285854
EleutherAI/pythia-410m,33,step32,1,7,4,seed4,405334016,24,0.7855153604886742,2.9427821246458485,0.007229270446553475
EleutherAI/pythia-410m,33,step32,1,8,4,seed4,405334016,24,0.7769761328113582,2.9115795559846944,0.007241395094375066
EleutherAI/pythia-410m,33,step32,1,9,4,seed4,405334016,24,0.7278914470873948,2.8601983038224534,0.007019040276570353
EleutherAI/pythia-410m,33,step32,1,10,4,seed4,405334016,24,0.7633361998296418,2.9080735350682674,0.007124862739414603
EleutherAI/pythia-410m,33,step32,1,11,4,seed4,405334016,24,0.7079769382252861,2.8310745253778453,0.0069356833891746905
EleutherAI/pythia-410m,33,step32,1,12,4,seed4,405334016,24,0.7641151428313342,2.918076713183545,0.0071731481841963325
EleutherAI/pythia-410m,33,step32,1,13,4,seed4,405334016,24,0.8226819479957707,2.9662936525059567,0.0073407787900356455
EleutherAI/pythia-410m,33,step32,1,14,4,seed4,405334016,24,0.8191027347927149,2.956524585781903,0.007281103748218319
EleutherAI/pythia-410m,33,step32,1,15,4,seed4,405334016,24,0.7841578143401727,2.9429209722888974,0.007234259367449744
EleutherAI/pythia-410m,33,step32,1,16,4,seed4,405334016,24,0.7798634987480599,2.9461085482380636,0.007273919748682782
EleutherAI/pythia-410m,33,step32,2,1,4,seed4,405334016,24,0.8013721101579905,2.98191744403752,0.007320737394786162
EleutherAI/pythia-410m,33,step32,2,2,4,seed4,405334016,24,0.7710392456935226,2.9591571761496946,0.007254523788294234
EleutherAI/pythia-410m,33,step32,2,3,4,seed4,405334016,24,0.7915956130133291,2.9423313159643762,0.007218990745561655
EleutherAI/pythia-410m,33,step32,2,4,4,seed4,405334016,24,0.7966758869663983,2.928108535878804,0.0072454065507270736
EleutherAI/pythia-410m,33,step32,2,5,4,seed4,405334016,24,0.7795260793461861,2.8812734561478246,0.007129442604993801
EleutherAI/pythia-410m,33,step32,2,6,4,seed4,405334016,24,0.7549759103642588,2.881857381651675,0.007088771493509631
EleutherAI/pythia-410m,33,step32,2,7,4,seed4,405334016,24,0.7587678791192434,2.89697352052993,0.007101088202925526
EleutherAI/pythia-410m,33,step32,2,8,4,seed4,405334016,24,0.7616054023359872,2.9146861139575257,0.007191235800347105
EleutherAI/pythia-410m,33,step32,2,9,4,seed4,405334016,24,0.7673847715625833,2.955070101608539,0.007264187194612236
EleutherAI/pythia-410m,33,step32,2,10,4,seed4,405334016,24,0.7299042140440338,2.8425595919864417,0.007014205461337478
EleutherAI/pythia-410m,33,step32,2,11,4,seed4,405334016,24,0.8072446661103152,2.9656205914667395,0.007264908489774978
EleutherAI/pythia-410m,33,step32,2,12,4,seed4,405334016,24,0.7769934642161206,2.9298407995878155,0.007228178201914796
EleutherAI/pythia-410m,33,step32,2,13,4,seed4,405334016,24,0.7932312874824411,2.9721327019795223,0.007324441482245919
EleutherAI/pythia-410m,33,step32,2,14,4,seed4,405334016,24,0.7538659564388998,2.9041919212547342,0.0071850736761997595
EleutherAI/pythia-410m,33,step32,2,15,4,seed4,405334016,24,0.793573269056798,2.925539343345434,0.007200480673360375
EleutherAI/pythia-410m,33,step32,2,16,4,seed4,405334016,24,0.8053964959019513,2.9466137533546783,0.00727422994776205
EleutherAI/pythia-410m,33,step32,3,1,4,seed4,405334016,24,0.7440605762790526,2.8951425357782545,0.007113609556527487
EleutherAI/pythia-410m,33,step32,3,2,4,seed4,405334016,24,0.7466539911012913,2.9467965146862416,0.007279644907121888
EleutherAI/pythia-410m,33,step32,3,3,4,seed4,405334016,24,0.7848518438934762,2.9387526763542593,0.007208657160390936
EleutherAI/pythia-410m,33,step32,3,4,4,seed4,405334016,24,0.7629938042892098,2.9126288020001843,0.007190385189552741
EleutherAI/pythia-410m,33,step32,3,5,4,seed4,405334016,24,0.7528107602833197,2.9367055693356576,0.007257868082763372
EleutherAI/pythia-410m,33,step32,3,6,4,seed4,405334016,24,0.7855800832985501,2.9299750266478215,0.00721601803537842
EleutherAI/pythia-410m,33,step32,3,7,4,seed4,405334016,24,0.7927967673751286,2.8946797616420756,0.007166334444572471
EleutherAI/pythia-410m,33,step32,3,8,4,seed4,405334016,24,0.7600925771112884,2.9114216892036846,0.00713647964102192
EleutherAI/pythia-410m,33,step32,3,9,4,seed4,405334016,24,0.7726853157978065,2.9904076107470203,0.007335808792498443
EleutherAI/pythia-410m,33,step32,3,10,4,seed4,405334016,24,0.7617462527175096,2.8961223843147197,0.007108110203293931
EleutherAI/pythia-410m,33,step32,3,11,4,seed4,405334016,24,0.7754168734447164,2.9338304882887467,0.007176673610845011
