mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction
EleutherAI/pythia-410m,10001,step10000,1,1,4,seed4,405334016,24,1.5980839769958572,7.161330769361687,0.01378625059206463
EleutherAI/pythia-410m,10001,step10000,1,2,4,seed4,405334016,24,0.3515511433317764,2.283310119758811,0.005210343881906992
EleutherAI/pythia-410m,10001,step10000,1,3,4,seed4,405334016,24,0.34194318942738194,2.3590258673551574,0.005384033209088627
EleutherAI/pythia-410m,10001,step10000,1,4,4,seed4,405334016,24,0.40076568140511487,2.3495513219722137,0.005382102660007473
EleutherAI/pythia-410m,10001,step10000,1,5,4,seed4,405334016,24,0.46099065100113923,2.9126721270169664,0.006413672775870412
EleutherAI/pythia-410m,10001,step10000,1,6,4,seed4,405334016,24,0.6210044979949648,3.6043400033152,0.0075156640552047375
EleutherAI/pythia-410m,10001,step10000,1,7,4,seed4,405334016,24,0.3640429534060757,2.3026219911073196,0.005458007476265635
EleutherAI/pythia-410m,10001,step10000,1,8,4,seed4,405334016,24,0.39741995269746466,2.399914074328359,0.005568843707925756
EleutherAI/pythia-410m,10001,step10000,1,9,4,seed4,405334016,24,0.5838304758018763,3.24774960122681,0.007233312418523738
EleutherAI/pythia-410m,10001,step10000,1,10,4,seed4,405334016,24,0.9936747276783808,3.884254881670887,0.008862505640204035
EleutherAI/pythia-410m,10001,step10000,1,11,4,seed4,405334016,24,0.5176820310154473,2.790473662705416,0.006568587455929995
EleutherAI/pythia-410m,10001,step10000,1,12,4,seed4,405334016,24,0.5791710567534771,2.9153678930509686,0.006814134199189839
EleutherAI/pythia-410m,10001,step10000,1,13,4,seed4,405334016,24,0.4140006340564484,2.483860570514829,0.00582210918449014
EleutherAI/pythia-410m,10001,step10000,1,14,4,seed4,405334016,24,0.693735130670878,3.611209971006846,0.008121353642206694
EleutherAI/pythia-410m,10001,step10000,1,15,4,seed4,405334016,24,0.57503424904534,2.9318783851397234,0.0068208435375129274
EleutherAI/pythia-410m,10001,step10000,1,16,4,seed4,405334016,24,0.3860718042876762,2.73226410507775,0.005893352696304903
EleutherAI/pythia-410m,10001,step10000,2,1,4,seed4,405334016,24,0.8948700615664766,3.409302920362433,0.008230133761216767
EleutherAI/pythia-410m,10001,step10000,2,2,4,seed4,405334016,24,0.16593883903536366,1.34561568944809,0.003040962481475277
EleutherAI/pythia-410m,10001,step10000,2,3,4,seed4,405334016,24,0.6099300647750315,2.524922303853141,0.006319856121642527
EleutherAI/pythia-410m,10001,step10000,2,4,4,seed4,405334016,24,1.743678184634639,9.91499202692034,0.017495498789627716
EleutherAI/pythia-410m,10001,step10000,2,5,4,seed4,405334016,24,1.6188977702954648,7.529657653078549,0.014420611967045813
EleutherAI/pythia-410m,10001,step10000,2,6,4,seed4,405334016,24,0.3107241916346443,1.893430938765458,0.004273362558563195
EleutherAI/pythia-410m,10001,step10000,2,7,4,seed4,405334016,24,0.8135311923663975,4.100773264384318,0.0092191197412284
EleutherAI/pythia-410m,10001,step10000,2,8,4,seed4,405334016,24,2.8279132607961146,10.965990738302057,0.020103439391645384
EleutherAI/pythia-410m,10001,step10000,2,9,4,seed4,405334016,24,1.9203895130131572,8.61716469147683,0.016236282534497888
