mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction
EleutherAI/pythia-160m,33,step32,1,1,4,seed4,162322944,12,0.7425424635822835,2.8836764095992353,0.007083921937001325
EleutherAI/pythia-160m,33,step32,1,2,4,seed4,162322944,12,0.792731267210709,2.9521344664510596,0.007276884566850363
EleutherAI/pythia-160m,33,step32,1,3,4,seed4,162322944,12,0.7895118096631102,2.9364193405658225,0.00718581590354779
EleutherAI/pythia-160m,33,step32,1,4,4,seed4,162322944,12,0.7632944924000715,2.9260417919348356,0.007169996548105947
EleutherAI/pythia-160m,33,step32,1,5,4,seed4,162322944,12,0.7758115893538504,2.920170312931747,0.007253786247302528
EleutherAI/pythia-160m,33,step32,1,6,4,seed4,162322944,12,0.811378675121699,2.9762317353900962,0.007318962744353819
EleutherAI/pythia-160m,33,step32,1,7,4,seed4,162322944,12,0.7242325923153037,2.86159381956921,0.007043586560422822
EleutherAI/pythia-160m,33,step32,1,8,4,seed4,162322944,12,0.712691248257464,2.8455248791138588,0.007019262866657086
EleutherAI/pythia-160m,33,step32,1,9,4,seed4,162322944,12,0.796058871605187,2.9487413945605043,0.00730946941038045
EleutherAI/pythia-160m,33,step32,1,10,4,seed4,162322944,12,0.7459847103185668,2.9036515035482937,0.007168611192497294
EleutherAI/pythia-160m,33,step32,1,11,4,seed4,162322944,12,0.7382144296066898,2.8942749152629115,0.0071053645942613175
EleutherAI/pythia-160m,33,step32,1,12,4,seed4,162322944,12,0.7841376642140099,2.9251262847158106,0.007108067743861384
EleutherAI/pythia-160m,33,step32,2,1,4,seed4,162322944,12,0.7765889830466589,2.9261579419856547,0.007224819799419258
EleutherAI/pythia-160m,33,step32,2,2,4,seed4,162322944,12,0.7712606924879615,2.9407259097412735,0.007218669530287235
EleutherAI/pythia-160m,33,step32,2,3,4,seed4,162322944,12,0.7690761887585986,2.908778297048588,0.00719795355411065
EleutherAI/pythia-160m,33,step32,2,4,4,seed4,162322944,12,0.7562491082167697,2.8922256406745728,0.007133822660716169
EleutherAI/pythia-160m,33,step32,2,5,4,seed4,162322944,12,0.7666227499362427,2.9329779278310184,0.0071837885822761335
EleutherAI/pythia-160m,33,step32,2,6,4,seed4,162322944,12,0.7775479758277761,2.934745225691535,0.007242492536877212
EleutherAI/pythia-160m,33,step32,2,7,4,seed4,162322944,12,0.7476532232598264,2.8996622269183288,0.007081731396079779
EleutherAI/pythia-160m,33,step32,2,8,4,seed4,162322944,12,0.7388058781194978,2.882262162961858,0.007029980945887833
EleutherAI/pythia-160m,33,step32,2,9,4,seed4,162322944,12,0.7392492064083833,2.899792153356212,0.007145071231912549
EleutherAI/pythia-160m,33,step32,2,10,4,seed4,162322944,12,0.7536759316392648,2.9530045565256327,0.007246878561519704
EleutherAI/pythia-160m,33,step32,2,11,4,seed4,162322944,12,0.807811271474222,2.9424038339579988,0.007309109970923332
EleutherAI/pythia-160m,33,step32,2,12,4,seed4,162322944,12,0.7613403207117806,2.8744282045917102,0.007079677449556626
EleutherAI/pythia-160m,33,step32,3,1,4,seed4,162322944,12,0.7775411635500807,2.9512197936829656,0.007308590869462726
EleutherAI/pythia-160m,33,step32,3,2,4,seed4,162322944,12,0.7838904755555158,2.9966833509914594,0.00733575929172061
EleutherAI/pythia-160m,33,step32,3,3,4,seed4,162322944,12,0.7826544378496034,2.964678924544473,0.007296027387966222
EleutherAI/pythia-160m,33,step32,3,4,4,seed4,162322944,12,0.7573307716581115,2.9608651343019714,0.0073187575537508815
EleutherAI/pythia-160m,33,step32,3,5,4,seed4,162322944,12,0.7727862382766636,2.9121915730781014,0.007217022428908235
EleutherAI/pythia-160m,33,step32,3,6,4,seed4,162322944,12,0.7240879869205074,2.930800290726508,0.007199530669750256
EleutherAI/pythia-160m,33,step32,3,7,4,seed4,162322944,12,0.766537402715096,2.9029688704550916,0.007129432058953899
EleutherAI/pythia-160m,33,step32,3,8,4,seed4,162322944,12,0.7377622666943346,3.0041275498458573,0.00738381373002626
EleutherAI/pythia-160m,33,step32,3,9,4,seed4,162322944,12,0.7502915708910359,2.888386442838955,0.007113780888917538
