mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction
EleutherAI/pythia-70m,100001,step100000,1,1,3,seed3,70426624,6,2.221540485982486,10.739795044625374,0.020248322160209328
EleutherAI/pythia-70m,100001,step100000,1,2,3,seed3,70426624,6,0.40527487914560895,2.6740057877603345,0.006217657624338274
EleutherAI/pythia-70m,100001,step100000,1,3,3,seed3,70426624,6,0.6613211918495542,3.362566365504072,0.007824394658160594
EleutherAI/pythia-70m,100001,step100000,1,4,3,seed3,70426624,6,1.8340257188571114,11.455792296686749,0.020326098163567122
EleutherAI/pythia-70m,100001,step100000,1,5,3,seed3,70426624,6,0.9694632790684343,7.768183046391629,0.013905173233920017
EleutherAI/pythia-70m,100001,step100000,1,6,3,seed3,70426624,6,0.160774646113418,1.6178073249625502,0.003162438564562139
EleutherAI/pythia-70m,100001,step100000,1,7,3,seed3,70426624,6,1.5087033368005507,8.322576519959295,0.015643854648023287
EleutherAI/pythia-70m,100001,step100000,1,8,3,seed3,70426624,6,1.1421259726253408,4.846314840851768,0.009877789606144778
EleutherAI/pythia-70m,100001,step100000,2,1,3,seed3,70426624,6,0.5325989741949284,3.2346521921593756,0.007409136007548915
EleutherAI/pythia-70m,100001,step100000,2,2,3,seed3,70426624,6,0.166315962136035,1.7297311612708264,0.00380626083884631
EleutherAI/pythia-70m,100001,step100000,2,3,3,seed3,70426624,6,1.326177145402864,11.204456509149459,0.019371899001089262
EleutherAI/pythia-70m,100001,step100000,2,4,3,seed3,70426624,6,0.9009416138821101,6.997122390461573,0.01315952030544875
EleutherAI/pythia-70m,100001,step100000,2,5,3,seed3,70426624,6,1.0100522819743443,5.91798850956645,0.011891483430257019
EleutherAI/pythia-70m,100001,step100000,2,6,3,seed3,70426624,6,1.4405206034888227,8.65425265305966,0.01618567539591883
EleutherAI/pythia-70m,100001,step100000,2,7,3,seed3,70426624,6,1.0972693496175674,7.655293855174561,0.014456156083245825
EleutherAI/pythia-70m,100001,step100000,2,8,3,seed3,70426624,6,0.8936629024553956,5.159125553891506,0.01025349420799016
EleutherAI/pythia-70m,100001,step100000,3,1,3,seed3,70426624,6,1.394300029658136,7.6559554818142495,0.014123707999266896
EleutherAI/pythia-70m,100001,step100000,3,2,3,seed3,70426624,6,1.0821397130642654,5.4902694726349885,0.010414980947136594
EleutherAI/pythia-70m,100001,step100000,3,3,3,seed3,70426624,6,0.791037319103418,4.090907833977491,0.008327677022982413
EleutherAI/pythia-70m,100001,step100000,3,4,3,seed3,70426624,6,0.5573627193828682,7.531555060075435,0.012844791573212512
EleutherAI/pythia-70m,100001,step100000,3,5,3,seed3,70426624,6,0.527233660614382,3.016377065557148,0.006946433543958213
EleutherAI/pythia-70m,100001,step100000,3,6,3,seed3,70426624,6,0.85521932895094,3.407174369442293,0.007316043555832195
EleutherAI/pythia-70m,100001,step100000,3,7,3,seed3,70426624,6,4.165049667845977,20.402960562666774,0.035192961279753354
EleutherAI/pythia-70m,100001,step100000,3,8,3,seed3,70426624,6,0.9853186864658917,6.243729162075425,0.011583171729541156
EleutherAI/pythia-70m,100001,step100000,4,1,3,seed3,70426624,6,0.7810382265057166,1.5525311756451616,0.004014584915426021
EleutherAI/pythia-70m,100001,step100000,4,2,3,seed3,70426624,6,0.6105192038206243,1.099412701233327,0.0033468579374397876
EleutherAI/pythia-70m,100001,step100000,4,3,3,seed3,70426624,6,0.8099728312750784,2.593825853804003,0.005783128874279231
EleutherAI/pythia-70m,100001,step100000,4,4,3,seed3,70426624,6,1.2042548875534338,4.928298368116696,0.00977963014399109
EleutherAI/pythia-70m,100001,step100000,4,5,3,seed3,70426624,6,0.6087961629995542,1.078257606368813,0.003339118838931481
EleutherAI/pythia-70m,100001,step100000,4,6,3,seed3,70426624,6,0.6316842451322857,1.5008334146625049,0.003961267374015169
EleutherAI/pythia-70m,100001,step100000,4,7,3,seed3,70426624,6,0.6174219220213356,1.1425155348937759,0.003417998473101425
EleutherAI/pythia-70m,100001,step100000,4,8,3,seed3,70426624,6,0.9498196838313484,3.4339997717614876,0.00744946854289013
EleutherAI/pythia-70m,100001,step100000,5,1,3,seed3,70426624,6,0.8656052683326828,1.9093118608389645,0.004526123720006459
EleutherAI/pythia-70m,100001,step100000,5,2,3,seed3,70426624,6,1.6437885983512917,7.941525977024999,0.0147872621751298
EleutherAI/pythia-70m,100001,step100000,5,3,3,seed3,70426624,6,2.15020421490577,12.711315769220846,0.022513421415223594
EleutherAI/pythia-70m,100001,step100000,5,4,3,seed3,70426624,6,1.2946403501311956,2.6430644036392863,0.006201378521869596
