mpath,step_modded,revision,Layer,Head,seed,seed_name,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back,mean_first
EleutherAI/pythia-70m,17,step16,4,7,9,seed9,70426624,6,0.7843887713033636,2.924903559884051,0.007205607637918772,0.12587959882062114,0.17092861390641856
EleutherAI/pythia-70m,17,step16,4,8,9,seed9,70426624,6,0.7654162997757481,3.015326823782031,0.007348099290854849,0.1291033052545678,0.16139047805432438
EleutherAI/pythia-70m,17,step16,5,1,9,seed9,70426624,6,0.7449075377028499,3.0096598699324506,0.007271979885330434,0.12840676196926346,0.15777641463767475
EleutherAI/pythia-70m,17,step16,5,2,9,seed9,70426624,6,0.7255588045991169,2.7968357134138833,0.00689063897865475,0.12044878939429557,0.16553708200563894
EleutherAI/pythia-70m,17,step16,5,3,9,seed9,70426624,6,0.7371712617553956,2.764435546772907,0.006821451426632714,0.11917983296441956,0.16934991045645223
EleutherAI/pythia-70m,17,step16,5,4,9,seed9,70426624,6,0.8074538735591857,3.058571229790118,0.007504204057568829,0.1313011573778616,0.16155808382071887
EleutherAI/pythia-70m,17,step16,5,5,9,seed9,70426624,6,0.7683138189857083,2.953528232177496,0.007283293061281088,0.12705646338942525,0.16104584946870443
EleutherAI/pythia-70m,17,step16,5,6,9,seed9,70426624,6,0.7712734308477266,2.9055215834674617,0.007217508654205271,0.12532234789842775,0.1620481114711489
EleutherAI/pythia-70m,17,step16,5,7,9,seed9,70426624,6,0.7574079018025703,3.029029302950255,0.007386407220205221,0.1296483529088375,0.15869119985437424
EleutherAI/pythia-70m,17,step16,5,8,9,seed9,70426624,6,0.7745809634323706,3.0324202670798117,0.007430866730136704,0.13015507870317397,0.1644905820242814
EleutherAI/pythia-70m,17,step16,6,1,9,seed9,70426624,6,0.7555361577004244,2.849221637496606,0.007029257712457061,0.12268883770180711,0.17011168473274316
EleutherAI/pythia-70m,17,step16,6,2,9,seed9,70426624,6,0.7765929380037383,2.8385691543536664,0.00704074119257993,0.12244671345450674,0.17277618985365814
EleutherAI/pythia-70m,17,step16,6,3,9,seed9,70426624,6,0.753789433283379,2.8385428310851744,0.007055532742914938,0.12250435044121989,0.1632559346230896
EleutherAI/pythia-70m,17,step16,6,4,9,seed9,70426624,6,0.7597586787960314,2.9089734845762125,0.007139362982580114,0.12495517325182036,0.1616990507633478
EleutherAI/pythia-70m,17,step16,6,5,9,seed9,70426624,6,0.8026637083820494,3.0349579669770193,0.007450740063318569,0.13039002319176987,0.16666970949049464
EleutherAI/pythia-70m,17,step16,6,6,9,seed9,70426624,6,0.7829940748200946,3.0055368126525512,0.0073221934542303,0.12872841336146307,0.16168804974616824
EleutherAI/pythia-70m,17,step16,6,7,9,seed9,70426624,6,0.7349619590739752,2.7446327747281978,0.006800455850782445,0.11833683908679281,0.17246462425983342
EleutherAI/pythia-70m,17,step16,6,8,9,seed9,70426624,6,0.795053246610365,3.0365459445920995,0.007451323986957322,0.13041446444105811,0.16065465112415336
