mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back,mean_first
EleutherAI/pythia-14m,10001,step10000,1,1,14067712,6,0.2834237881327217,2.100420243259891,0.004850552026248898,0.0877372598214013,0.14416454393729877
EleutherAI/pythia-14m,10001,step10000,1,2,14067712,6,0.33176098814937705,2.230881374047989,0.005192698643816162,0.0936299398340083,0.12565519344676898
EleutherAI/pythia-14m,10001,step10000,1,3,14067712,6,0.4165492328180216,2.4629801741741,0.005702871804550667,0.10294418760740359,0.1386337348486523
EleutherAI/pythia-14m,10001,step10000,1,4,14067712,6,0.24616290485755335,2.075057521388357,0.004640337901666124,0.08556703692889424,0.1446351486344908
EleutherAI/pythia-14m,10001,step10000,2,1,14067712,6,0.6421760813047248,8.687728111429369,0.014727733793485805,0.31551617155740924,0.09075488251922005
EleutherAI/pythia-14m,10001,step10000,2,2,14067712,6,0.6121653603236439,4.652038658853797,0.009167828200507757,0.1805120840914793,0.14386829431518328
EleutherAI/pythia-14m,10001,step10000,2,3,14067712,6,1.2916703809384291,9.112606133801279,0.01597149977848944,0.33502832896358614,0.1210892829434336
EleutherAI/pythia-14m,10001,step10000,2,4,14067712,6,0.6108800051621438,4.715528669090244,0.009365657875808243,0.18313638920764302,0.13431991504745794
EleutherAI/pythia-14m,10001,step10000,3,1,14067712,6,0.8545857290799012,5.936994128660582,0.010899331492476868,0.22304039546945786,0.1340292623719653
EleutherAI/pythia-14m,10001,step10000,3,2,14067712,6,1.0840176712184177,7.170290154189126,0.012549805785026373,0.2635778027388068,0.11656457922413001
EleutherAI/pythia-14m,10001,step10000,3,3,14067712,6,3.6698565005212482,20.96669322031898,0.0341571913806629,0.7495572902597822,0.08242509644702296
EleutherAI/pythia-14m,10001,step10000,3,4,14067712,6,0.6683316021632602,3.773938237084445,0.008044846455485262,0.15122747612563336,0.1289871483146249
EleutherAI/pythia-14m,10001,step10000,4,1,14067712,6,0.7446937905690098,3.1575917470950245,0.007399994599709168,0.1322558960645227,0.17318494935931114
EleutherAI/pythia-14m,10001,step10000,4,2,14067712,6,0.7433125840129458,2.1639132647624786,0.0058592298831864125,0.09726830174469639,0.2143585075800483
EleutherAI/pythia-14m,10001,step10000,4,3,14067712,6,0.8963065728617083,5.887808663318717,0.011192280575417018,0.2247463630976619,0.12449471298437394
EleutherAI/pythia-14m,10001,step10000,4,4,14067712,6,0.7433212975336723,2.1696407230648114,0.00586297673214592,0.09747969790420549,0.21876097734816166
EleutherAI/pythia-14m,10001,step10000,5,1,14067712,6,0.69105098476612,2.5164211290808414,0.006297648422059284,0.10900895619994254,0.1840618453198322
EleutherAI/pythia-14m,10001,step10000,5,2,14067712,6,0.6769315852548647,2.688653655298642,0.006552828333283012,0.11505976527951677,0.17958486102963303
EleutherAI/pythia-14m,10001,step10000,5,3,14067712,6,0.6618568825078044,3.6611149217534886,0.007942935229657042,0.14801812434831893,0.13569180626847271
EleutherAI/pythia-14m,10001,step10000,5,4,14067712,6,0.606727942076524,3.9374346877385027,0.008157047026316944,0.156028869229036,0.10938659257062514
EleutherAI/pythia-14m,10001,step10000,6,1,14067712,6,0.6781898564866897,7.203075408121295,0.01275906332086738,0.26664732859746826,0.08924061021076751
EleutherAI/pythia-14m,10001,step10000,6,2,14067712,6,0.7081784512328675,4.498163245269702,0.009024385903418466,0.17588254892163802,0.12558998349863842
EleutherAI/pythia-14m,10001,step10000,6,3,14067712,6,0.6419518009951518,3.4142462995025173,0.0074214017223185776,0.13817424663865527,0.15455525185823346
EleutherAI/pythia-14m,10001,step10000,6,4,14067712,6,0.7290952426338275,2.878630749989167,0.006989709153686901,0.12330142755967535,0.1425951027112814
