mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_1back,mean_first
EleutherAI/pythia-160m,10001,step10000,5,9,162322944,12,0.06136788787773328,0.801142225618119
EleutherAI/pythia-160m,10001,step10000,5,10,162322944,12,0.1092433528331396,0.5547605652932648
EleutherAI/pythia-160m,10001,step10000,5,11,162322944,12,0.05191317145564441,0.9304043671658805
EleutherAI/pythia-160m,10001,step10000,5,12,162322944,12,0.05769798231755824,0.8543761164486945
EleutherAI/pythia-160m,10001,step10000,6,1,162322944,12,0.05501349431856926,0.8913379222065121
EleutherAI/pythia-160m,10001,step10000,6,2,162322944,12,0.22176986578124774,0.3967439202932982
EleutherAI/pythia-160m,10001,step10000,6,3,162322944,12,0.06200508792344868,0.8575610858318325
EleutherAI/pythia-160m,10001,step10000,6,4,162322944,12,0.09152666267913737,0.5561118915721819
EleutherAI/pythia-160m,10001,step10000,6,5,162322944,12,0.07400156407653387,0.6939563030774171
EleutherAI/pythia-160m,10001,step10000,6,6,162322944,12,0.09858981844362191,0.5313928645249602
EleutherAI/pythia-160m,10001,step10000,6,7,162322944,12,0.053942049534672507,0.9261949049370425
EleutherAI/pythia-160m,10001,step10000,6,8,162322944,12,0.06302196480747722,0.8164628324834434
EleutherAI/pythia-160m,10001,step10000,6,9,162322944,12,0.19307699827505298,0.3550950608498699
EleutherAI/pythia-160m,10001,step10000,6,10,162322944,12,0.07575513441227484,0.766379503426967
EleutherAI/pythia-160m,10001,step10000,6,11,162322944,12,0.07212073408212653,0.7993850541544391
EleutherAI/pythia-160m,10001,step10000,6,12,162322944,12,0.10503693679543404,0.5289880280961862
EleutherAI/pythia-160m,10001,step10000,7,1,162322944,12,0.16200728114280433,0.23569405927985634
EleutherAI/pythia-160m,10001,step10000,7,2,162322944,12,0.05907416550929209,0.8618170303088408
EleutherAI/pythia-160m,10001,step10000,7,3,162322944,12,0.17624451010837566,0.43123054157595736
EleutherAI/pythia-160m,10001,step10000,7,4,162322944,12,0.09977223895288798,0.5149396711082251
EleutherAI/pythia-160m,10001,step10000,7,5,162322944,12,0.09106863250637104,0.6339613557219863
EleutherAI/pythia-160m,10001,step10000,7,6,162322944,12,0.08752853624164696,0.6921755695665205
EleutherAI/pythia-160m,10001,step10000,7,7,162322944,12,0.07912253809102748,0.7945939587266954
EleutherAI/pythia-160m,10001,step10000,7,8,162322944,12,0.06706370364080316,0.800831807760505
EleutherAI/pythia-160m,10001,step10000,7,9,162322944,12,0.10870863593465926,0.6029680058270603
EleutherAI/pythia-160m,10001,step10000,7,10,162322944,12,0.0733584856318013,0.7093582451791018
EleutherAI/pythia-160m,10001,step10000,7,11,162322944,12,0.0650462845575299,0.7638878872668421
EleutherAI/pythia-160m,10001,step10000,7,12,162322944,12,0.07828074463785764,0.7112920980329986
EleutherAI/pythia-160m,10001,step10000,8,1,162322944,12,0.06584611184637731,0.7965278133705214
EleutherAI/pythia-160m,10001,step10000,8,2,162322944,12,0.1567671285779984,0.5392242759331927
EleutherAI/pythia-160m,10001,step10000,8,3,162322944,12,0.08414129195762822,0.6597201225009408
EleutherAI/pythia-160m,10001,step10000,8,4,162322944,12,0.06814519308127079,0.8152196407318115
EleutherAI/pythia-160m,10001,step10000,8,5,162322944,12,0.07333722733542901,0.688861320102895
EleutherAI/pythia-160m,10001,step10000,8,6,162322944,12,0.08263041664407145,0.5615352879952382
EleutherAI/pythia-160m,10001,step10000,8,7,162322944,12,0.06205413929625849,0.799139144363346
EleutherAI/pythia-160m,10001,step10000,8,8,162322944,12,0.33226711115053104,0.3271406929794553
EleutherAI/pythia-160m,10001,step10000,8,9,162322944,12,0.12360806116000843,0.3983946556600185
EleutherAI/pythia-160m,10001,step10000,8,10,162322944,12,0.08135569808786512,0.6575157385062169
EleutherAI/pythia-160m,10001,step10000,8,11,162322944,12,0.10659165856604637,0.3222426940426901
EleutherAI/pythia-160m,10001,step10000,8,12,162322944,12,0.07056467120980353,0.7936427799968032
EleutherAI/pythia-160m,10001,step10000,9,1,162322944,12,0.07910962575660628,0.7733025354397548
EleutherAI/pythia-160m,10001,step10000,9,2,162322944,12,0.08442849417527512,0.6277792068819205
EleutherAI/pythia-160m,10001,step10000,9,3,162322944,12,0.056394183227943366,0.88712114623717
EleutherAI/pythia-160m,10001,step10000,9,4,162322944,12,0.06851655050452134,0.7003915660955884
EleutherAI/pythia-160m,10001,step10000,9,5,162322944,12,0.1322083721670123,0.32984214361097
EleutherAI/pythia-160m,10001,step10000,9,6,162322944,12,0.10507329662159842,0.4852444245382114
EleutherAI/pythia-160m,10001,step10000,9,7,162322944,12,0.06637834639822662,0.7273221423586568
EleutherAI/pythia-160m,10001,step10000,9,8,162322944,12,0.07886015753018422,0.34120471630100013
EleutherAI/pythia-160m,10001,step10000,9,9,162322944,12,0.058173072650223125,0.8608760503945766
EleutherAI/pythia-160m,10001,step10000,9,10,162322944,12,0.08680685146994235,0.6695210876407566
EleutherAI/pythia-160m,10001,step10000,9,11,162322944,12,0.06559255333790724,0.7924289489248851
EleutherAI/pythia-160m,10001,step10000,9,12,162322944,12,0.06719824274884414,0.816421949022167
EleutherAI/pythia-160m,10001,step10000,10,1,162322944,12,0.06360636152852849,0.8164656909109952
EleutherAI/pythia-160m,10001,step10000,10,2,162322944,12,0.09584636484516092,0.3290207564002937
EleutherAI/pythia-160m,10001,step10000,10,3,162322944,12,0.07934019173419954,0.7179949419634478
EleutherAI/pythia-160m,10001,step10000,10,4,162322944,12,0.2691772174727809,0.2065743118323184
EleutherAI/pythia-160m,10001,step10000,10,5,162322944,12,0.06523783583272323,0.7840001857853509
EleutherAI/pythia-160m,10001,step10000,10,6,162322944,12,0.059729309686859494,0.7435062999974142
EleutherAI/pythia-160m,10001,step10000,10,7,162322944,12,0.06176019000734111,0.817671570020753
EleutherAI/pythia-160m,10001,step10000,10,8,162322944,12,0.11310990567545628,0.6020481940974165
EleutherAI/pythia-160m,10001,step10000,10,9,162322944,12,0.09508869671136942,0.6236239574379749
EleutherAI/pythia-160m,10001,step10000,10,10,162322944,12,0.06696444401914646,0.781233834030034
EleutherAI/pythia-160m,10001,step10000,10,11,162322944,12,0.0746243284349595,0.7773715713181654
EleutherAI/pythia-160m,10001,step10000,10,12,162322944,12,0.06473773355419567,0.7524137641932513
EleutherAI/pythia-160m,10001,step10000,11,1,162322944,12,0.06565966051317994,0.7722728977779726
EleutherAI/pythia-160m,10001,step10000,11,2,162322944,12,0.1509920922038075,0.48335286883173045
EleutherAI/pythia-160m,10001,step10000,11,3,162322944,12,0.07850465069695542,0.6656992776436849
EleutherAI/pythia-160m,10001,step10000,11,4,162322944,12,0.06241183589120299,0.8230003917718435
EleutherAI/pythia-160m,10001,step10000,11,5,162322944,12,0.07920338755177034,0.6494891080815155
EleutherAI/pythia-160m,10001,step10000,11,6,162322944,12,0.12763594334816428,0.34240923818569996
EleutherAI/pythia-160m,10001,step10000,11,7,162322944,12,0.060151957797708766,0.8208988043997023
EleutherAI/pythia-160m,10001,step10000,11,8,162322944,12,0.06214404127954896,0.8160698638485001
EleutherAI/pythia-160m,10001,step10000,11,9,162322944,12,0.05978291150876078,0.8426700266408133
EleutherAI/pythia-160m,10001,step10000,11,10,162322944,12,0.2809773589576686,0.4115665498617533
EleutherAI/pythia-160m,10001,step10000,11,11,162322944,12,0.05904604289568845,0.848508682113152
EleutherAI/pythia-160m,10001,step10000,11,12,162322944,12,0.06844507451742525,0.7235779036451746
EleutherAI/pythia-160m,10001,step10000,12,1,162322944,12,0.26505227295217565,0.27531107440702723
EleutherAI/pythia-160m,10001,step10000,12,2,162322944,12,0.0827769632912702,0.5912598276415745
EleutherAI/pythia-160m,10001,step10000,12,3,162322944,12,0.26948677708168284,0.2975626788955103
EleutherAI/pythia-160m,10001,step10000,12,4,162322944,12,0.19121428684250366,0.39991917565196483
EleutherAI/pythia-160m,10001,step10000,12,5,162322944,12,0.14173243397863594,0.4585457043582434
EleutherAI/pythia-160m,10001,step10000,12,6,162322944,12,0.08121089544426925,0.6007537545339839
EleutherAI/pythia-160m,10001,step10000,12,7,162322944,12,0.21975519114338954,0.22911531233170007
EleutherAI/pythia-160m,10001,step10000,12,8,162322944,12,0.2579769904951791,0.24878765417223753
EleutherAI/pythia-160m,10001,step10000,12,9,162322944,12,0.2018124197942537,0.34441810472680995
EleutherAI/pythia-160m,10001,step10000,12,10,162322944,12,0.12204571887738887,0.45781601551506257
EleutherAI/pythia-160m,10001,step10000,12,11,162322944,12,0.10557858581590397,0.487649926473876
EleutherAI/pythia-160m,10001,step10000,12,12,162322944,12,0.1887755255933638,0.19413677548749128
