mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back
EleutherAI/pythia-160m,2,step1,1,1,162322944,12,0.7288035573445043,2.8603909447809706,0.006939571208529026,0.12237649094369314
EleutherAI/pythia-160m,2,step1,1,2,162322944,12,0.7754668395962506,2.9159485014841584,0.007176944252915111,0.12532541936671765
EleutherAI/pythia-160m,2,step1,1,3,162322944,12,0.7766152528674946,2.9234616355200305,0.007132848109650517,0.12548968944888747
EleutherAI/pythia-160m,2,step1,1,4,162322944,12,0.7733067392636428,2.911281435916649,0.00711250070888529,0.12473271274239985
EleutherAI/pythia-160m,2,step1,1,5,162322944,12,0.7668363872030244,2.9294538805446955,0.007172191407679214,0.12578091291045101
EleutherAI/pythia-160m,2,step1,1,6,162322944,12,0.7899731974218507,2.9316920034566354,0.0071690173273669605,0.12577219575912024
EleutherAI/pythia-160m,2,step1,1,7,162322944,12,0.7435751060590305,2.876595207009419,0.007103599110561748,0.1236399298270901
EleutherAI/pythia-160m,2,step1,1,8,162322944,12,0.7280918628308286,2.8545506381558403,0.007010348124372759,0.1225697979912743
EleutherAI/pythia-160m,2,step1,1,9,162322944,12,0.7643775402179918,2.904482472301283,0.007163154866708539,0.12504604624936705
EleutherAI/pythia-160m,2,step1,1,10,162322944,12,0.7683325084516432,2.922758005896764,0.007192459215843062,0.12571034350575086
EleutherAI/pythia-160m,2,step1,1,11,162322944,12,0.7837367411291115,2.934162392826499,0.007208030618571649,0.1260202515243857
EleutherAI/pythia-160m,2,step1,1,12,162322944,12,0.8396953419986208,3.003000732562681,0.007348477462740474,0.12876982875056447
EleutherAI/pythia-160m,2,step1,2,1,162322944,12,0.7543347164096751,2.888628339048456,0.007049916506369922,0.12364998433526389
EleutherAI/pythia-160m,2,step1,2,2,162322944,12,0.7354935769226607,2.8677832116734305,0.007043753143497427,0.12326488734499824
EleutherAI/pythia-160m,2,step1,2,3,162322944,12,0.7823256115941731,2.9272422755370493,0.0072446394915787315,0.12624133699335846
EleutherAI/pythia-160m,2,step1,2,4,162322944,12,0.8025345502609936,2.9679041578505543,0.007363827631125715,0.12811605116022418
