mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back,mean_first
EleutherAI/pythia-1b,5,step4,1,1,1011781632,16,0.8005781900977382,2.954886151100531,0.00730059427211577,0.12718694856216953,0.16613136656448108
EleutherAI/pythia-1b,5,step4,1,2,1011781632,16,0.7721114681832467,2.911940228608852,0.00722960115128048,0.12543898547353505,0.16572490580626073
EleutherAI/pythia-1b,5,step4,1,3,1011781632,16,0.7648017319819688,2.9250967814746143,0.00719916033333994,0.12571858604055441,0.16443031700747504
EleutherAI/pythia-1b,5,step4,1,4,1011781632,16,0.798443167227422,2.9370096072664427,0.0072271319406994276,0.12624428717715958,0.16782488895429143
EleutherAI/pythia-1b,5,step4,1,5,1011781632,16,0.7449943486848141,2.870656382771534,0.007058423794785432,0.12336516065953726,0.1637656309728597
EleutherAI/pythia-1b,5,step4,1,6,1011781632,16,0.7798700393656015,2.9222302975747683,0.007209795842930582,0.12587128690368415,0.16593700324048147
EleutherAI/pythia-1b,5,step4,1,7,1011781632,16,0.7556373438738209,2.8953327810658482,0.007174205027603926,0.12476457792471296,0.16497637796308
EleutherAI/pythia-1b,5,step4,1,8,1011781632,16,0.7948067246067905,2.9559105637492973,0.007258772768227549,0.12689542696551157,0.166635278282357
EleutherAI/pythia-1b,5,step4,2,1,1011781632,16,0.7665857057195878,2.919031142230511,0.007201015075669779,0.12563582374392682,0.16343779316557952
EleutherAI/pythia-1b,5,step4,2,2,1011781632,16,0.7829998517974305,2.901617983656184,0.007132448894444888,0.1247518652652924,0.17243637721258415
EleutherAI/pythia-1b,5,step4,2,3,1011781632,16,0.7489383807689051,2.907638668369217,0.007127604200137236,0.12481285608723174,0.1639153816857495
EleutherAI/pythia-1b,5,step4,2,4,1011781632,16,0.7748124970834074,2.912726311423648,0.007180197204087953,0.1253032562610981,0.1640013024524167
EleutherAI/pythia-1b,5,step4,2,5,1011781632,16,0.7786892034895373,2.9569681709832345,0.007283165173300969,0.12702516553638213,0.16347072698601012
EleutherAI/pythia-1b,5,step4,2,6,1011781632,16,0.7506827447641613,2.927739772137311,0.007211389271598226,0.12589191681182416,0.1620231964052081
EleutherAI/pythia-1b,5,step4,2,7,1011781632,16,0.7746058760097899,2.8960391040006623,0.007197203879395093,0.12498071703601166,0.16897465625928862
