mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back,mean_first
EleutherAI/pythia-70m,17,step16,1,1,70426624,6,0.7955501366778296,2.95991174544433,0.007257735935447789,0.1274038221094164,0.16514766165936312
EleutherAI/pythia-70m,17,step16,1,2,70426624,6,0.7736557100005798,2.9098332733897623,0.00723158429884661,0.12563978337512177,0.16571411515611245
EleutherAI/pythia-70m,17,step16,1,3,70426624,6,0.8134100962489491,2.984611041067752,0.007388231785744336,0.12862190038704116,0.16757813077587796
EleutherAI/pythia-70m,17,step16,1,4,70426624,6,0.7805213405513955,2.942432062728035,0.007233629731640869,0.12644113152771735,0.16458786638067646
EleutherAI/pythia-70m,17,step16,1,5,70426624,6,0.7475755555967505,2.8685477002598407,0.007127150352491065,0.12367729259817088,0.16500426443467087
EleutherAI/pythia-70m,17,step16,1,6,70426624,6,0.7962672843240024,2.9657426316736144,0.007372576150694719,0.12791171063062123,0.16632627254469434
EleutherAI/pythia-70m,17,step16,1,7,70426624,6,0.7532498716974018,2.8892682761792456,0.007106592752816654,0.12415020712077972,0.16512318340328716
EleutherAI/pythia-70m,17,step16,1,8,70426624,6,0.7574416829895046,2.9156928052012887,0.007202451443938264,0.12537308337653538,0.1643673549252408
EleutherAI/pythia-70m,17,step16,2,1,70426624,6,0.787739137548837,2.9754223856423563,0.007335636015127274,0.12797591409592832,0.16558731475414273
EleutherAI/pythia-70m,17,step16,2,2,70426624,6,0.7742886126715152,2.9373250582765826,0.007213239397092667,0.12606658486162753,0.16401942865783203
EleutherAI/pythia-70m,17,step16,2,3,70426624,6,0.7643595692459347,2.922033782403123,0.007190131892521912,0.12562874100498247,0.16286875348392724
EleutherAI/pythia-70m,17,step16,2,4,70426624,6,0.7747615474343302,2.9123383590508682,0.007221808146266833,0.12566436350614096,0.16085276385215486
EleutherAI/pythia-70m,17,step16,2,5,70426624,6,0.7762713151298672,2.898308351128455,0.0071623206545465565,0.12487809181034382,0.16508549843375028
EleutherAI/pythia-70m,17,step16,2,6,70426624,6,0.7565869957633002,2.898954016992742,0.007090480646068838,0.12431509981865993,0.16721180424250814
EleutherAI/pythia-70m,17,step16,2,7,70426624,6,0.7571062270326258,2.8823991578280577,0.007064721085493582,0.12380163269201373,0.16219918410833528
EleutherAI/pythia-70m,17,step16,2,8,70426624,6,0.7698812110835932,2.9059072988731356,0.007130729013086577,0.124808800845846,0.1670996262034675
EleutherAI/pythia-70m,17,step16,3,1,70426624,6,0.7980390076230981,2.965398297162388,0.007290579346902801,0.12745090325114064,0.1643378962413058
EleutherAI/pythia-70m,17,step16,3,2,70426624,6,0.7437612199861227,2.892421148519833,0.0071117321331042,0.12426505132659416,0.16359991694915219
