mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back
EleutherAI/pythia-410m,50001,step50000,1,1,405334016,24,1.734434200286084,10.909484762513005,0.019345694339942217,0.4034127605122489
EleutherAI/pythia-410m,50001,step50000,1,2,405334016,24,0.4989335757219508,3.418874170833058,0.0076364286752754335,0.1404859804332972
EleutherAI/pythia-410m,50001,step50000,1,3,405334016,24,0.7319156957634181,3.2971658941432653,0.007438829815482691,0.13606592498764436
EleutherAI/pythia-410m,50001,step50000,1,4,405334016,24,0.30454460089112917,2.209049419899377,0.005140969882702698,0.09260208645203445
EleutherAI/pythia-410m,50001,step50000,1,5,405334016,24,0.8135478258762336,3.3992798546941927,0.007746080906883992,0.1413963107957138
EleutherAI/pythia-410m,50001,step50000,1,6,405334016,24,0.36679012312037446,2.6198171129372927,0.005695172476781488,0.10605978151900806
EleutherAI/pythia-410m,50001,step50000,1,7,405334016,24,0.8653467451036974,4.013403154118216,0.008661069610014668,0.16167465491114075
EleutherAI/pythia-410m,50001,step50000,1,8,405334016,24,0.8430302042927981,4.672097513958092,0.009385153148397166,0.18231631397037532
EleutherAI/pythia-410m,50001,step50000,1,9,405334016,24,0.45863711979513166,2.920635237188298,0.006671849075068025,0.1210111165614994
EleutherAI/pythia-410m,50001,step50000,1,10,405334016,24,1.0581835176392158,5.516660011649557,0.011273169138113371,0.21722138514210865
EleutherAI/pythia-410m,50001,step50000,1,11,405334016,24,0.6512070945903422,3.825446844761983,0.008187730482610255,0.15403816697968015
EleutherAI/pythia-410m,50001,step50000,1,12,405334016,24,0.4488403361256252,2.9141197991284558,0.0063779751594368154,0.11867484726660599
EleutherAI/pythia-410m,50001,step50000,1,13,405334016,24,0.7474126133158341,3.506048991691021,0.007809153143610746,0.1433170794568083
EleutherAI/pythia-410m,50001,step50000,1,14,405334016,24,0.784635564023423,2.930629772844781,0.007174403135416923,0.12546738313214553
EleutherAI/pythia-410m,50001,step50000,1,15,405334016,24,1.31013587656816,6.523177880389097,0.012846511141538747,0.25231774983642336
EleutherAI/pythia-410m,50001,step50000,1,16,405334016,24,0.6301370345762999,3.51886838143479,0.007596304346396824,0.1420153445220208
EleutherAI/pythia-410m,50001,step50000,2,1,405334016,24,0.7171204621951723,3.7623555573737,0.00865999603516272,0.15732579934480664
EleutherAI/pythia-410m,50001,step50000,2,2,405334016,24,1.796273743954346,8.103904147066162,0.015925767778782053,0.31371224078688176
EleutherAI/pythia-410m,50001,step50000,2,3,405334016,24,0.8635192685228783,3.831240193415661,0.008555973834294394,0.15652189931801486
EleutherAI/pythia-410m,50001,step50000,2,4,405334016,24,1.2054272348424462,6.793078523459531,0.012759075932036524,0.2573764053013947
EleutherAI/pythia-410m,50001,step50000,2,5,405334016,24,0.4390776772215983,2.3714004665828425,0.004994373973170821,0.0948948099672257
EleutherAI/pythia-410m,50001,step50000,2,6,405334016,24,0.8023694518372784,4.935746260138084,0.010544460365681449,0.1989341110729419
EleutherAI/pythia-410m,50001,step50000,2,7,405334016,24,1.7932511229730221,10.184926550813255,0.018560198887697936,0.38249122266386365
EleutherAI/pythia-410m,50001,step50000,2,8,405334016,24,1.4435875832577896,7.95175483915555,0.015091905794424283,0.30382661062765404
EleutherAI/pythia-410m,50001,step50000,2,9,405334016,24,0.7452570209934215,2.955655264206054,0.007461113266314022,0.128342901359315
EleutherAI/pythia-410m,50001,step50000,2,10,405334016,24,1.4554058236625387,7.347996962354261,0.014232113333324801,0.281812763272284
