mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_1back,mean_first
EleutherAI/pythia-160m,1001,step1000,1,1,162322944,12,0.11511036639546485,0.1576898122547535
EleutherAI/pythia-160m,1001,step1000,1,2,162322944,12,0.11695791957144798,0.1577813520121413
EleutherAI/pythia-160m,1001,step1000,1,3,162322944,12,0.1189729477762728,0.1691188865170643
EleutherAI/pythia-160m,1001,step1000,1,4,162322944,12,0.11117015360063078,0.15473822235792603
EleutherAI/pythia-160m,1001,step1000,1,5,162322944,12,0.11631206199303042,0.15764640607834754
EleutherAI/pythia-160m,1001,step1000,1,6,162322944,12,0.10921680521186404,0.15010072486111525
EleutherAI/pythia-160m,1001,step1000,1,7,162322944,12,0.11428264431744899,0.15876280319493807
EleutherAI/pythia-160m,1001,step1000,1,8,162322944,12,0.1013526553819487,0.14246798688741594
EleutherAI/pythia-160m,1001,step1000,1,9,162322944,12,0.11347800826055326,0.1555206318841771
EleutherAI/pythia-160m,1001,step1000,1,10,162322944,12,0.11928698833886384,0.15921036931532276
EleutherAI/pythia-160m,1001,step1000,1,11,162322944,12,0.10893115677588333,0.15466874359069283
EleutherAI/pythia-160m,1001,step1000,1,12,162322944,12,0.11513411109377668,0.15777579092563268
EleutherAI/pythia-160m,1001,step1000,2,1,162322944,12,0.16443759939065564,0.11385900074162994
EleutherAI/pythia-160m,1001,step1000,2,2,162322944,12,0.208709952698366,0.13094615081588065
EleutherAI/pythia-160m,1001,step1000,2,3,162322944,12,0.19688800222299116,0.1284216902534793
EleutherAI/pythia-160m,1001,step1000,2,4,162322944,12,0.12289472151961588,0.14131024712556828
EleutherAI/pythia-160m,1001,step1000,2,5,162322944,12,0.1224073690079801,0.18838112518560507
EleutherAI/pythia-160m,1001,step1000,2,6,162322944,12,0.1569468870356276,0.12119894554732256
EleutherAI/pythia-160m,1001,step1000,2,7,162322944,12,0.1376524518101333,0.17391952647416437
EleutherAI/pythia-160m,1001,step1000,2,8,162322944,12,0.150362191828074,0.13377649108557635
