mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back
EleutherAI/pythia-70m,100001,step100000,1,1,70426624,6,0.7282690063690914,3.4154532011163137,0.007450940418139715,0.1384790638635108
EleutherAI/pythia-70m,100001,step100000,1,2,70426624,6,1.8831879493688555,12.510131418832682,0.021911521852016065,0.4606158109130086
EleutherAI/pythia-70m,100001,step100000,1,3,70426624,6,0.5043484813769396,2.9105990102342068,0.00667369449565695,0.1206071717166775
EleutherAI/pythia-70m,100001,step100000,1,4,70426624,6,0.14202615240313582,1.6116344145186206,0.003011480895698623,0.06170239088463057
EleutherAI/pythia-70m,100001,step100000,1,5,70426624,6,1.484977213386897,8.6683139089679,0.016018332297204455,0.3267591641740398
EleutherAI/pythia-70m,100001,step100000,1,6,70426624,6,1.2863836704894038,8.302692653815596,0.014997081952937108,0.3116168924817093
EleutherAI/pythia-70m,100001,step100000,1,7,70426624,6,0.7144673901842313,3.407290826893791,0.00790907937923159,0.14208193792326668
EleutherAI/pythia-70m,100001,step100000,1,8,70426624,6,1.6222548727466712,9.377665465679737,0.017268126678848455,0.35293825234736764
EleutherAI/pythia-70m,100001,step100000,2,1,70426624,6,0.9649105217173666,6.579767279901853,0.01251104868033703,0.25145259793769487
EleutherAI/pythia-70m,100001,step100000,2,2,70426624,6,1.0929996280214622,10.161184996900296,0.017710000351051018,0.37392355588910814
EleutherAI/pythia-70m,100001,step100000,2,3,70426624,6,1.2653221866439854,9.077972364240278,0.01654713104384898,0.3409542310703266
EleutherAI/pythia-70m,100001,step100000,2,4,70426624,6,1.04600884237997,6.284272625582202,0.011908006710110984,0.238966568879358
EleutherAI/pythia-70m,100001,step100000,2,5,70426624,6,0.5615361151244767,2.819628609901939,0.006737552245684723,0.11972792684897642
EleutherAI/pythia-70m,100001,step100000,2,6,70426624,6,1.078881714319872,8.017253401028515,0.014824507896161862,0.30325162307815146
EleutherAI/pythia-70m,100001,step100000,2,7,70426624,6,0.8434598260425771,6.415751611907441,0.012381474486065134,0.24756469475748658
EleutherAI/pythia-70m,100001,step100000,2,8,70426624,6,0.8031145175374304,5.984464820646508,0.01130578098860475,0.22813782864459997
EleutherAI/pythia-70m,100001,step100000,3,1,70426624,6,0.9148018229357752,4.125103270593634,0.00867181282917041,0.16443833385457143
EleutherAI/pythia-70m,100001,step100000,3,2,70426624,6,4.729045665793229,21.07258663378925,0.03617964143743765,0.7700093162131381
EleutherAI/pythia-70m,100001,step100000,3,3,70426624,6,0.6040472142037865,2.6389200736276694,0.005959356371730685,0.10824426471650059
EleutherAI/pythia-70m,100001,step100000,3,4,70426624,6,0.7764644978546817,5.319866780581093,0.0101387659391201,0.20305397532678934
EleutherAI/pythia-70m,100001,step100000,3,5,70426624,6,1.1510048364472787,8.087405808734198,0.01477762678938333,0.30331047870464867
EleutherAI/pythia-70m,100001,step100000,3,6,70426624,6,0.5243626693302904,3.084098831521378,0.0070562430647944175,0.1284330292428667
EleutherAI/pythia-70m,100001,step100000,3,7,70426624,6,0.22316940936177834,1.4557049353634506,0.003822568039705172,0.06415341381129018
EleutherAI/pythia-70m,100001,step100000,3,8,70426624,6,1.3222205328491115,6.014971180324655,0.011093079196830778,0.22539506232863785
EleutherAI/pythia-70m,100001,step100000,4,1,70426624,6,0.7164149518087487,1.5003972513156996,0.004004993746131824,0.0661729507640496
EleutherAI/pythia-70m,100001,step100000,4,2,70426624,6,0.5962751371933757,1.079244480931896,0.0033181857255458616,0.05106552517777109
EleutherAI/pythia-70m,100001,step100000,4,3,70426624,6,0.8627234066449855,2.7803323851389936,0.006268823873448064,0.11380118855999571
EleutherAI/pythia-70m,100001,step100000,4,4,70426624,6,0.6980118027066754,1.9538020132325038,0.004789361011952866,0.08304429101805245
EleutherAI/pythia-70m,100001,step100000,4,5,70426624,6,1.3771142934750245,8.956787945740338,0.01628004519365935,0.33543828870351605
EleutherAI/pythia-70m,100001,step100000,4,6,70426624,6,0.5852679764028819,1.1090209015927295,0.003374362661262656,0.05212241119926081
EleutherAI/pythia-70m,100001,step100000,4,7,70426624,6,0.595066966269821,1.177463469043982,0.003508518316986964,0.05477097150331286
