mpath,step_modded,revision,Layer,Head,n_params,n_layers,mean_prev_self_ratio,mean_prev_all_ratio,prev_fraction,mean_1back,mean_first
EleutherAI/pythia-70m,10001,step10000,1,1,70426624,6,0.47573845413471827,2.5811942458073784,0.005848301252389519,0.10717698591048112,0.18179646349727388
EleutherAI/pythia-70m,10001,step10000,1,2,70426624,6,1.2157067824649526,6.342599466932733,0.01225833087265602,0.24314037276370384,0.14906495515335424
EleutherAI/pythia-70m,10001,step10000,1,3,70426624,6,0.40382460061428654,2.4274778453458596,0.005717784777231661,0.10231963262051429,0.14567123358235787
EleutherAI/pythia-70m,10001,step10000,1,4,70426624,6,0.15514727244639756,1.7273077341957233,0.003287412862495804,0.06658478170967524,0.06737221599425053
EleutherAI/pythia-70m,10001,step10000,1,5,70426624,6,1.1933669062729544,6.699351985246864,0.01294335950426325,0.2571237155490809,0.1461742084876105
EleutherAI/pythia-70m,10001,step10000,1,6,70426624,6,1.278966433988124,7.8860481464653605,0.014703006037618689,0.2989227666376947,0.12420706931423313
EleutherAI/pythia-70m,10001,step10000,1,7,70426624,6,0.590736238231383,3.0034301271246218,0.0071284535681832625,0.1268215468461001,0.1457642578595393
EleutherAI/pythia-70m,10001,step10000,1,8,70426624,6,1.6272958787049432,9.009304609361907,0.01650789767742833,0.33782687199276845,0.12525406145062798
EleutherAI/pythia-70m,10001,step10000,2,1,70426624,6,1.351467690308984,8.148426245248809,0.014962996767498881,0.30656859397261704,0.11621760406360787
EleutherAI/pythia-70m,10001,step10000,2,2,70426624,6,1.2895821046885847,11.004218114223924,0.019043188734785527,0.4039119411338199,0.09533498755882716
EleutherAI/pythia-70m,10001,step10000,2,3,70426624,6,1.2948060293792787,9.459971972143032,0.01676574397495299,0.3503122173093102,0.11669656049527291
EleutherAI/pythia-70m,10001,step10000,2,4,70426624,6,1.2465981968455226,6.958088662646656,0.013067759070233734,0.26379246839710896,0.12681035844569982
EleutherAI/pythia-70m,10001,step10000,2,5,70426624,6,0.5876378385119572,2.7035474464882903,0.0067508797464174404,0.11694613886107728,0.14302314185277296
