mpath,checkpoint,words_seen,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,0,0.013702349737286568,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,1,0.01469315867871046,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,2,0.013955877162516117,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,3,0.013624432496726513,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,4,0.013877803459763527,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,5,0.01321207731962204,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,6,0.013936583884060383,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,7,0.013734344393014908,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,8,0.013602822087705135,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,9,0.013875002041459084,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,10,0.015071434900164604,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,0,11,0.01346841361373663,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,1,0,0.012533178552985191,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,1,1,0.014466720633208752,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,1,2,0.013221337459981441,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,1,3,0.013141326606273651,0.0,6816.35986328125
BabyLM-community/babylm-baseline-10m-gpt2,main,100000000,98425344,12,12,0,1,4,0.010925753973424435,0.0,6816.35986328125
