mpath,checkpoint,words_seen,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,0,0.014094088226556778,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,1,0.014122766442596912,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,2,0.01353235449641943,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,3,0.01371748000383377,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,4,0.014878865331411362,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,5,0.013965362682938576,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,6,0.014271626248955727,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,7,0.013704383745789528,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,8,0.014755148440599442,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,9,0.013872240670025349,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,10,0.014398647472262383,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,0,11,0.013705689460039139,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,0,0.014371552504599094,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,1,0.014493712224066257,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,2,0.014146307483315468,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,3,0.013517899438738823,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,4,0.01341590192168951,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,5,0.013341983780264854,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,6,0.013645121827721596,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,7,0.01316505391150713,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,8,0.013266668654978275,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,9,0.014004766009747982,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,10,0.014324073679745197,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,1,11,0.014440661296248436,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,0,0.015211340971291065,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,1,0.013830559328198433,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,2,0.013073716312646866,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,3,0.013178549706935883,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,4,0.013096644543111324,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,5,0.013518821448087692,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,6,0.014585835859179497,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,7,0.013641209341585636,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,8,0.013706369325518608,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,9,0.014326009899377823,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,10,0.014102605171501637,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,2,11,0.014018385671079159,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,0,0.013761029578745365,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,1,0.013866917230188847,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,2,0.013358313590288162,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,3,0.0138893723487854,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,4,0.01355732697993517,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,5,0.013684103265404701,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,6,0.013065142557024956,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,7,0.013097631745040417,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,8,0.013121052645146847,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,9,0.014020069502294064,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,10,0.014041639864444733,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,3,11,0.012940578162670135,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,0,0.012940537184476852,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,1,0.01282300241291523,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,2,0.014916634187102318,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,3,0.014482805505394936,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,4,0.01408945582807064,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,5,0.013696237467229366,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,6,0.013230829499661922,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,7,0.013929206877946854,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,8,0.013219092041254044,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,9,0.01459546945989132,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,10,0.013543106615543365,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,4,11,0.013349572196602821,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,0,0.01391805149614811,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,1,0.013069047592580318,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,2,0.013282251544296741,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,3,0.014971244148910046,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,4,0.014235313981771469,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,5,0.0132063589990139,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,6,0.01333916187286377,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,7,0.014127436093986034,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,8,0.013589284382760525,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,9,0.01398218423128128,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,10,0.014189331792294979,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,5,11,0.013782134279608727,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,0,0.01364180725067854,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,1,0.014409509487450123,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,2,0.013711022213101387,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,3,0.013579929247498512,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,4,0.01331669557839632,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,5,0.013986141420900822,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,6,0.013707106001675129,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,7,0.014169871807098389,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,8,0.014180018566548824,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,9,0.014202876016497612,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,10,0.014851138927042484,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,6,11,0.013347063213586807,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,0,0.013236061669886112,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,1,0.01376451924443245,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,2,0.013870957307517529,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,3,0.014301183633506298,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,4,0.014566292986273766,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,5,0.013480525463819504,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,6,0.01389787532389164,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,7,0.014467048458755016,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,8,0.013783497735857964,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,9,0.013031614944338799,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,10,0.013165609911084175,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,7,11,0.014149495400488377,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,8,0,0.014122596941888332,0.0,7992.7998046875
BabyLM-community/babylm-baseline-100m-gpt2,chck_2M,2000000,98425344,12,12,0,8,1,0.013477111235260963,0.0,7992.7998046875
