mpath,checkpoint,words_seen,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,3,2,0.012224792502820492,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,3,3,0.009871814399957657,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,3,4,0.014894327148795128,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,3,5,0.013221662491559982,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,3,6,0.011424386873841286,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,3,7,0.01179409772157669,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,3,8,0.008672109805047512,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,3,9,0.010850310325622559,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,3,10,0.011845391243696213,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,3,11,0.015077557414770126,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,0,0.012190865352749825,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,1,0.009979907423257828,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,2,0.011296119540929794,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,3,0.011267142370343208,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,4,0.008399915881454945,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,5,0.007972931489348412,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,6,0.008146744221448898,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,7,0.011643756181001663,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,8,0.010545248165726662,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,9,0.011582139879465103,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,10,0.012134668417274952,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,4,11,0.01353143434971571,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,0,0.010770849883556366,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,1,0.010425535030663013,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,2,0.010736368596553802,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,3,0.011346939019858837,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,4,0.008571513928472996,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,5,0.011557861231267452,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,6,0.011469833552837372,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,7,0.013472178019583225,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,8,0.00835905596613884,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,9,0.010805758647620678,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,10,0.011208307929337025,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,5,11,0.01074961293488741,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,0,0.011484934948384762,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,1,0.007182676810771227,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,2,0.015702631324529648,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,3,0.009825416840612888,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,4,0.00936173927038908,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,5,0.00519880186766386,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,6,0.004641138948500156,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,7,0.010884033516049385,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,8,0.011014074087142944,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,9,0.010406885296106339,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,6,10,0.006387284025549889,0.0,7744.259765625
