mpath,checkpoint,words_seen,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,0,0.011548928916454315,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,1,0.011687682010233402,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,2,0.013518801890313625,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,3,0.01230908278375864,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,4,0.012730376794934273,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,5,0.01199194323271513,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,6,0.012227539904415607,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,7,0.011712932959198952,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,8,0.012298508547246456,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,9,0.011709669604897499,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,10,0.01223337184637785,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,0,11,0.012370663695037365,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,0,0.006896859034895897,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,1,0.008213061839342117,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,2,0.006569123361259699,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,3,0.009519814513623714,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,4,0.006278839893639088,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,5,0.011606944724917412,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,6,0.01099881436675787,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,7,0.01303080003708601,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,8,0.008341162465512753,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,9,0.011588961817324162,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,10,0.007401176728308201,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,1,11,0.012162071652710438,0.5,260.8800048828125
BabyLM-community/babylm-baseline-100m-gpt2,main,1000000000,98425344,12,12,0,2,0,0.0034499187022447586,0.5,260.8800048828125
