mpath,seed,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,0,0.007229703478515148,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,1,0.0037254306953400373,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,2,0.000829382159281522,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,3,0.008170418441295624,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,4,0.003711478319019079,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,5,0.00646343594416976,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,6,0.004794451408088207,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,7,0.0014699139865115285,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,8,0.0072799003683030605,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,9,0.01152849942445755,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,10,0.006675025913864374,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,0,11,0.01056403387337923,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,0,0.009228551760315895,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,1,0.0013987363781780005,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,2,0.006691723596304655,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,3,0.0021174298599362373,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,4,0.002437117276713252,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,5,3.9315895264735445e-05,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,6,0.0009028477361425757,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,7,7.447523239534348e-05,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,8,0.011004608124494553,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,9,0.013439858332276344,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,10,0.0018053132807835937,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,1,11,3.408504562685266e-05,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,0,1.3420575669442769e-05,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,1,0.000682318874169141,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,2,0.006779979448765516,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,3,0.008015809580683708,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,4,0.0031373798847198486,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,5,0.010091656818985939,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,6,0.005484560504555702,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,7,0.002141496865078807,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,8,0.0001700364809948951,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,9,0.0003309462626930326,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,10,0.006564099807292223,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,2,11,0.012225475162267685,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,0,0.005890770349651575,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,1,0.010336806997656822,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,2,0.0021303491666913033,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,3,0.00327327405102551,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,4,8.862261893227696e-05,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,5,8.848052499010883e-12,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,6,3.801881121034967e-07,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,7,0.008619395084679127,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,8,0.0028755944222211838,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,9,0.005307219456881285,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,10,0.003261897014454007,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,3,11,3.12170413963031e-07,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,4,0,0.0035568946041166782,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,4,1,0.0069798980839550495,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,4,2,0.00973869301378727,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,4,3,0.00664104288443923,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,4,4,0.007101424504071474,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,4,5,0.44227489829063416,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,4,6,0.013826804235577583,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,4,7,0.00837135873734951,0.8600000143051147,538.5599975585938
EleutherAI/pythia-160m,9,50000,step50000,162322944,12,12,0,4,8,0.003058662172406912,0.8600000143051147,538.5599975585938
