mpath,seed,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,0,0.013903357088565826,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,1,0.014941236935555935,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,2,0.012912715785205364,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,3,0.013148353435099125,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,4,0.013714180327951908,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,5,0.0131580401211977,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,6,0.01381368562579155,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,7,0.013199547305703163,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,8,0.014320943504571915,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,9,0.013585107401013374,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,10,0.014640536159276962,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,0,11,0.013734103180468082,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,0,0.01281485054641962,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,1,0.013893615454435349,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,2,0.012626365758478642,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,3,0.01290119532495737,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,4,0.012994089163839817,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,5,0.013303129933774471,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,6,0.012846285477280617,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,7,0.01304415613412857,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,8,0.01343903224915266,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,9,0.01473016757518053,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,10,0.013540941290557384,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,1,11,0.011867613531649113,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,0,0.013120046816766262,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,1,0.014171071350574493,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,2,0.012347042560577393,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,3,0.012994932010769844,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,4,0.014115002937614918,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,5,0.012622443027794361,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,6,0.012500457465648651,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,7,0.01411358080804348,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,8,0.01433941163122654,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,9,0.013354659080505371,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,10,0.013036638498306274,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,2,11,0.014627727679908276,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,0,0.014045514166355133,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,1,0.01399895641952753,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,2,0.012547536753118038,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,3,0.013827207498252392,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,4,0.013168721459805965,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,5,0.012777114287018776,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,6,0.014103582128882408,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,7,0.011960136704146862,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,8,0.012790736742317677,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,9,0.014181453734636307,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,10,0.013156211003661156,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,3,11,0.0144735649228096,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,0,0.01416493859142065,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,1,0.014421417377889156,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,2,0.012856033630669117,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,3,0.011880883947014809,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,4,0.012627724558115005,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,5,0.014483936131000519,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,6,0.012572462670505047,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,7,0.01336637232452631,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,8,0.013567893765866756,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,9,0.01331249438226223,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,10,0.012563485652208328,0.0,21032.48046875
EleutherAI/pythia-160m,7,128,step128,162322944,12,12,0,4,11,0.012412293814122677,0.0,21032.48046875
