mpath,seed,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,0,0.013565883971750736,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,1,0.012962504290044308,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,2,0.01507585495710373,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,3,0.012640390545129776,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,4,0.013821610249578953,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,5,0.013279748149216175,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,6,0.013637707568705082,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,7,0.013291841372847557,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,8,0.014605768024921417,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,9,0.014055144041776657,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,10,0.014652726240456104,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,11,0.014454360119998455,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,12,0.013207893818616867,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,13,0.013707633130252361,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,14,0.013732136227190495,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,0,15,0.013824351131916046,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,0,0.014337881468236446,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,1,0.014056673273444176,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,2,0.012601208873093128,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,3,0.013232559897005558,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,4,0.013045959174633026,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,5,0.01418312918394804,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,6,0.01398425456136465,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,7,0.012907075695693493,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,8,0.012488394975662231,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,9,0.013910733163356781,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,10,0.013857956044375896,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,11,0.016081951558589935,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,12,0.012698116712272167,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,13,0.01347163412719965,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,14,0.012762759812176228,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,1,15,0.014818413183093071,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,2,0,0.014194748364388943,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,2,1,0.014186800457537174,0.0,25505.880859375
EleutherAI/pythia-410m,6,4,step4,405334016,24,16,0,2,2,0.014103271998465061,0.0,25505.880859375
