mpath,seed,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,0,0,0.014616928063333035,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,0,1,0.01314927451312542,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,0,2,0.014098769053816795,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,0,3,0.013271156698465347,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,0,4,0.014581577852368355,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,0,5,0.01442976575344801,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,0,6,0.014708977192640305,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,0,7,0.013812551274895668,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,1,0,0.012687690556049347,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,1,1,0.012888094410300255,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,1,2,0.014017628505825996,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,1,3,0.012363123707473278,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,1,4,0.013049484230577946,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,1,5,0.014136655256152153,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,1,6,0.013037506490945816,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,1,7,0.014738954603672028,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,2,0,0.014333304017782211,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,2,1,0.013903514482080936,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,2,2,0.014442572370171547,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,2,3,0.013856841251254082,0.0,27743.01953125
EleutherAI/pythia-70m,2,8,step8,70426624,6,8,0,2,4,0.013584320433437824,0.0,27743.01953125
