mpath,seed,step,revision,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,0,0,0.013791199773550034,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,0,1,0.012237600982189178,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,0,2,0.01417489256709814,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,0,3,0.013120471499860287,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,1,0,0.010885918512940407,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,1,1,0.0103493956848979,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,1,2,0.010675097815692425,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,1,3,0.010042641311883926,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,2,0,0.01015662681311369,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,2,1,0.007065788377076387,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,2,2,0.01089522335678339,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,2,3,0.008845490403473377,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,3,0,0.003580213990062475,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,3,1,0.0037928831297904253,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,3,2,0.00688314251601696,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,3,3,0.001897968351840973,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,4,0,0.018192943185567856,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,4,1,0.012644177302718163,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,4,2,0.010304587893188,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,4,3,0.01163567416369915,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,5,0,0.009332379326224327,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,5,1,0.011250603944063187,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,5,2,0.007135258987545967,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,0,5,3,0.012615323066711426,0.0,25247.919921875
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,0,0,0.014332656748592854,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,0,1,0.014396781101822853,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,0,2,0.012467174790799618,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,0,3,0.013270795345306396,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,1,0,0.009861164726316929,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,1,1,0.008925236761569977,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,1,2,0.010687712579965591,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,1,3,0.011215887032449245,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,2,0,0.011253594420850277,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,2,1,0.009928836487233639,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,2,2,0.01363098993897438,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,2,3,0.011727397330105305,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,3,0,0.0076302881352603436,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,3,1,0.004753639455884695,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,3,2,0.010312426835298538,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,3,3,0.002380871679633856,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,4,0,0.012834384106099606,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,4,1,0.014238121919333935,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,4,2,0.010055972263216972,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,4,3,0.015600442886352539,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,5,0,0.012661355547606945,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,5,1,0.013824794441461563,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,5,2,0.008436589501798153,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,1,5,3,0.012985830195248127,0.0,26767.5390625
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,0,0,0.013348322361707687,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,0,1,0.012378137558698654,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,0,2,0.013508114032447338,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,0,3,0.013613944873213768,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,1,0,0.007939644157886505,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,1,1,0.007718152366578579,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,1,2,0.010508295148611069,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,1,3,0.011170444078743458,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,2,0,0.007930394262075424,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,2,1,0.010167987085878849,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,2,2,0.011746341362595558,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,2,3,0.010233918204903603,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,3,0,0.007848640903830528,0.0,23959.8203125
EleutherAI/pythia-14m,3,1000,step1000,14067712,6,4,2,3,1,0.0036516827531158924,0.0,23959.8203125
